# Sensor type: Respeck
# Activity type: Lying down on left
# Activity subtype: Singing
# Subject id: s2104454
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696244951054,-0.7102051,-0.2420044,-0.65582275,0.109375,-1.046875,0.0625
1696244951094,-0.7133789,-0.23223877,-0.6482544,-0.015625,-1.25,0.140625
1696244951134,-0.70825195,-0.24249268,-0.6524048,-0.328125,-1.953125,0.15625
1696244951182,-0.70043945,-0.24127197,-0.6416626,-0.40625,-0.859375,0.140625
1696244951215,-0.7158203,-0.24517822,-0.65875244,-0.515625,-1.671875,-0.28125
1696244951255,-0.7026367,-0.23468018,-0.64849854,-0.71875,-1.734375,0.234375
1696244951296,-0.7006836,-0.24468994,-0.6477661,-0.90625,-0.46875,0.1875
1696244951334,-0.7211914,-0.24298096,-0.6602173,-1.203125,-0.4375,-0.15625
1696244951374,-0.6982422,-0.24224854,-0.6375122,0.0625,-1.84375,0.46875
1696244951415,-0.70996094,-0.23980713,-0.65802,-0.71875,-0.78125,0.125
1696244951454,-0.7102051,-0.2341919,-0.647522,-0.421875,-0.734375,0.5625
1696244951495,-0.7128906,-0.24786377,-0.6548462,0.375,-0.609375,-0.046875
1696244951535,-0.70410156,-0.24761963,-0.6585083,-0.125,-0.84375,0.265625
1696244951575,-0.70166016,-0.24005127,-0.647522,-0.296875,-1.171875,0.109375
1696244951615,-0.7072754,-0.2444458,-0.6604614,-0.296875,-0.703125,0.28125
1696244951656,-0.7050781,-0.24395752,-0.65289307,0.546875,-1.515625,0.375
1696244951694,-0.6948242,-0.24078369,-0.6399536,0.59375,-0.96875,0.4375
1696244951735,-0.7026367,-0.24029541,-0.6670532,0.265625,-1.1875,0.484375
1696244951776,-0.6960449,-0.24029541,-0.6482544,0.484375,-0.1875,0.3125
1696244951814,-0.6960449,-0.24029541,-0.6589966,0.640625,-0.421875,0.1875
1696244951854,-0.70825195,-0.24224854,-0.6663208,0.0625,-0.09375,0.296875
1696244951895,-0.7026367,-0.24005127,-0.6560669,0.015625,-0.046875,0.28125
1696244951936,-0.7026367,-0.23931885,-0.6638794,-0.109375,0.421875,0.21875
