# Sensor type: Respeck
# Activity type: Lying down on left
# Activity subtype: Talking
# Subject id: s2104454
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696244380755,-0.6804199,-0.06817627,-0.7085571,-0.28125,0.0625,0.21875
1696244380794,-0.67944336,-0.06378174,-0.72613525,0.171875,-0.734375,0.171875
1696244380835,-0.685791,-0.06402588,-0.7197876,-0.078125,-0.53125,0.328125
1696244380876,-0.67700195,-0.07086182,-0.71954346,-0.078125,-0.421875,0.203125
1696244380917,-0.67578125,-0.070373535,-0.71588135,-0.09375,-0.21875,0.125
1696244380956,-0.67700195,-0.06744385,-0.7180786,-0.03125,-0.703125,0.171875
1696244380995,-0.6779785,-0.06744385,-0.72540283,-0.328125,-0.421875,0.265625
1696244381036,-0.67749023,-0.062316895,-0.7112427,-0.109375,-0.375,0.265625
1696244381076,-0.6779785,-0.07330322,-0.71954346,0.0625,-0.71875,0.203125
1696244381116,-0.6750488,-0.07281494,-0.7127075,0.0625,-0.453125,0.265625
1696244381156,-0.67407227,-0.06793213,-0.7217407,0.109375,-0.5,0.015625
1696244381196,-0.68066406,-0.070617676,-0.72247314,0.03125,-0.234375,0.234375
1696244381237,-0.67944336,-0.06549072,-0.71221924,-0.140625,-0.328125,0.15625
1696244381276,-0.67626953,-0.066223145,-0.7214966,-0.21875,-0.484375,0.375
1696244381358,-0.67529297,-0.06402588,-0.7180786,0.046875,-0.484375,0.203125
1696244381362,-0.67626953,-0.06842041,-0.71832275,-0.046875,-0.453125,0.171875
1696244381375,-0.6791992,-0.06573486,-0.72662354,-0.015625,-0.421875,0.203125
1696244381438,-0.67749023,-0.0635376,-0.71710205,-0.0625,-0.515625,0.25
1696244381456,-0.6767578,-0.06524658,-0.72320557,-0.03125,-0.40625,0.21875
1696244381496,-0.67993164,-0.074035645,-0.71954346,0.0,-0.375,0.3125
1696244381536,-0.68481445,-0.06695557,-0.7246704,-0.1875,-0.4375,0.21875
1696244381577,-0.67626953,-0.07281494,-0.7149048,-0.109375,-0.359375,0.15625
1696244381618,-0.6833496,-0.07476807,-0.7280884,0.203125,-0.6875,0.21875
1696244381657,-0.6665039,-0.06964111,-0.7029419,0.375,-0.578125,0.234375
1696244381717,-0.67626953,-0.061828613,-0.73443604,-0.59375,0.28125,0.25
1696244381736,-0.67163086,-0.06890869,-0.7005005,-0.078125,0.109375,0.1875
1696244381798,-0.68237305,-0.06964111,-0.7217407,0.234375,-0.59375,0.125
1696244381819,-0.6855469,-0.070129395,-0.71954346,-0.25,-0.40625,0.125
1696244381881,-0.6767578,-0.06768799,-0.71954346,-0.265625,-0.421875,0.265625
1696244381895,-0.6826172,-0.066467285,-0.7197876,-0.078125,-0.296875,0.171875
1696244381940,-0.6789551,-0.06768799,-0.70977783,0.078125,-0.3125,0.328125
1696244381977,-0.6843262,-0.070617676,-0.7268677,-0.171875,-0.390625,0.265625
1696244382016,-0.6796875,-0.070373535,-0.7124634,-0.140625,-0.078125,0.328125
1696244382055,-0.6801758,-0.065979004,-0.71343994,0.140625,-0.671875,0.09375
1696244382096,-0.6809082,-0.0647583,-0.7161255,0.0625,-0.40625,0.1875
1696244382140,-0.68188477,-0.062072754,-0.71881104,0.125,-0.421875,0.265625
1696244382177,-0.6755371,-0.07208252,-0.7192993,0.0,-0.265625,0.15625
