# Sensor type: Respeck
# Activity type: Lying down on stomach
# Activity subtype: Normal
# Subject id: s2104454
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696243055116,0.6088867,-0.08502197,-0.7966919,0.203125,1.875,0.625
1696243055136,0.59814453,-0.07476807,-0.7854614,0.71875,0.484375,0.484375
1696243055176,0.58862305,-0.06500244,-0.7620239,0.625,-0.671875,0.5625
1696243055238,0.57299805,-0.0725708,-0.74102783,0.390625,-0.875,0.28125
1696243055257,0.5644531,-0.07183838,-0.7341919,-0.40625,-1.171875,0.109375
1696243055297,0.56518555,-0.07965088,-0.7197876,-0.359375,-1.171875,-0.078125
1696243055337,0.5788574,-0.07574463,-0.7424927,-0.234375,-0.59375,0.0
1696243055377,0.59375,-0.081604004,-0.7625122,-0.03125,-0.15625,0.125
1696243055416,0.6015625,-0.0713501,-0.7769165,0.171875,0.03125,0.296875
1696243055457,0.595459,-0.06793213,-0.7737427,0.3125,-0.03125,0.359375
1696243055518,0.5805664,-0.066467285,-0.7564087,0.171875,-0.078125,0.28125
1696243055537,0.57373047,-0.07623291,-0.7439575,-0.015625,-0.125,0.390625
1696243055579,0.5769043,-0.06842041,-0.7420044,-0.21875,-0.296875,0.234375
1696243055619,0.5739746,-0.07501221,-0.7481079,0.03125,-0.59375,0.328125
1696243055657,0.57714844,-0.07550049,-0.74591064,-0.25,-0.859375,0.1875
1696243055739,0.5895996,-0.077697754,-0.75738525,0.140625,-0.828125,0.359375
1696243055742,0.58740234,-0.07940674,-0.77056885,0.078125,-0.359375,0.359375
1696243055758,0.5900879,-0.07525635,-0.7608032,0.109375,-0.5625,0.28125
1696243055797,0.58813477,-0.07305908,-0.75201416,0.03125,-0.34375,0.3125
1696243055838,0.57470703,-0.07159424,-0.7473755,0.03125,-0.34375,0.34375
1696243055901,0.5810547,-0.0713501,-0.75079346,-0.203125,-0.484375,0.265625
1696243055939,0.5786133,-0.073791504,-0.75323486,-0.1875,-0.421875,0.1875
1696243055978,0.57592773,-0.078430176,-0.755188,0.1875,-0.25,0.34375
1696243055998,0.5866699,-0.07550049,-0.7630005,0.09375,-0.4375,0.3125
1696243056038,0.58251953,-0.07501221,-0.7529907,0.046875,-0.375,0.25
1696243056078,0.5866699,-0.0725708,-0.7600708,0.125,-0.484375,0.34375
