,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696246633712,0.5969238,0.0048217773,0.7411499,-0.671875,1.0,1.234375,0
1,1696246633752,0.68359375,0.090026855,0.80267334,-4.46875,11.015625,-0.015625,1
2,1696246633792,0.57177734,-0.026184082,0.87005615,0.65625,5.015625,3.8125,2
3,1696246633832,0.62890625,-0.04864502,0.8734741,-5.0,4.703125,-1.3125,3
4,1696246633872,0.65844727,-0.015930176,0.85980225,0.609375,-1.328125,-1.484375,4
5,1696246633912,0.6179199,0.0004272461,0.7807007,-1.515625,-3.296875,-1.125,5
6,1696246633952,0.6098633,0.02557373,0.76678467,-0.078125,-4.484375,-0.625,6
7,1696246633992,0.65063477,0.004333496,0.8151245,-0.390625,-1.625,-0.921875,7
8,1696246634032,0.6525879,0.030700684,0.809021,1.265625,-1.515625,-0.265625,8
9,1696246634072,0.6166992,0.008239746,0.7987671,1.671875,-0.25,0.25,9
10,1696246634112,0.62280273,0.0119018555,0.8095093,2.1875,1.65625,1.296875,10
11,1696246634152,0.6113281,0.015319824,0.81121826,3.96875,3.203125,2.15625,11
12,1696246634192,0.5786133,0.030700684,0.7020874,3.484375,7.484375,2.53125,12
13,1696246634232,0.63500977,0.05657959,0.9154663,7.03125,15.171875,5.125,13
14,1696246634272,0.6430664,-0.09185791,0.8534546,-1.46875,11.828125,2.703125,14
15,1696246634312,0.673584,0.020446777,0.8456421,-0.171875,5.34375,-3.734375,15
16,1696246634352,0.66552734,0.039733887,0.7538452,4.78125,-0.046875,-2.75,16
17,1696246634392,0.71777344,-0.023986816,0.696228,2.4375,-5.328125,-5.171875,17
18,1696246634432,0.73706055,-0.08502197,0.7665405,1.828125,-4.140625,-4.953125,18
19,1696246634472,0.6706543,-0.06427002,0.7055054,-3.03125,-0.234375,-1.015625,19
20,1696246634512,0.68115234,0.01751709,0.7665405,-3.546875,-0.453125,2.28125,20
21,1696246634552,0.65625,-0.027404785,0.8060913,-2.453125,-2.15625,2.046875,21
22,1696246634592,0.62353516,-0.031066895,0.78704834,-3.671875,-0.890625,3.875,22
23,1696246634632,0.66552734,0.047302246,0.8300171,-0.8125,-1.953125,3.34375,23
24,1696246634672,0.64331055,0.019470215,0.8475952,-0.34375,-3.6875,2.234375,24
25,1696246634712,0.5966797,-0.030090332,0.8185425,-0.9375,0.1875,2.3125,25
26,1696246634752,0.6828613,0.027770996,0.6744995,-3.671875,6.3125,1.609375,26
27,1696246634792,0.68603516,-0.024230957,0.91156006,-0.75,2.609375,4.6875,27
28,1696246634832,0.65234375,0.002380371,0.7172241,-5.703125,8.890625,-2.34375,28
29,1696246634872,0.6899414,0.014343262,0.7284546,-4.0625,3.40625,-3.28125,29
30,1696246634912,0.6464844,0.01361084,0.80096436,-4.890625,-1.140625,-1.109375,30
31,1696246634952,0.6660156,0.003112793,0.7538452,-9.109375,-4.015625,-3.78125,31
32,1696246634992,0.7199707,-0.020324707,0.7472534,-5.328125,-3.859375,-4.390625,32
33,1696246635032,0.6748047,0.022888184,0.7814331,-5.109375,0.84375,-4.015625,33
34,1696246635072,0.6958008,0.03753662,0.76068115,-6.0,2.390625,-3.34375,34
35,1696246635112,0.75390625,0.05316162,0.79437256,-3.671875,4.953125,-2.65625,35
36,1696246635152,0.68896484,0.039489746,0.7633667,-4.421875,5.59375,-0.9375,36
37,1696246635192,0.6442871,0.07244873,0.78045654,-3.90625,4.4375,-0.4375,37
38,1696246635232,0.69018555,0.06048584,0.69525146,1.125,-4.171875,-2.359375,38
39,1696246635272,0.6464844,0.06585693,0.74823,10.296875,-8.375,-0.5,39
40,1696246635312,0.7426758,0.04901123,0.6366577,11.671875,0.4375,2.484375,40
41,1696246635352,0.67333984,0.021911621,0.8139038,14.296875,-11.34375,6.78125,41
42,1696246635392,0.6574707,-0.051330566,0.8395386,1.84375,-8.5625,5.09375,42
43,1696246635432,0.63012695,-0.07647705,0.7584839,0.234375,-3.546875,1.65625,43
44,1696246635472,0.69677734,0.018249512,0.82611084,0.828125,-1.203125,2.640625,44
45,1696246635512,0.62524414,0.022155762,0.8187866,-0.6875,-0.4375,6.40625,45
46,1696246635552,0.6220703,0.010192871,0.81073,-1.421875,0.09375,3.515625,46
47,1696246635592,0.6801758,0.04534912,0.8048706,-0.890625,-0.015625,0.109375,47
48,1696246635632,0.66308594,0.04852295,0.6798706,0.34375,0.125,-0.578125,48
49,1696246635672,0.76049805,0.14569092,1.0116577,2.171875,14.234375,0.296875,49
50,1696246635712,0.5720215,-0.057434082,0.79486084,-4.015625,1.59375,3.609375,50
51,1696246635752,0.6640625,0.018493652,0.85028076,-4.46875,1.1875,-4.359375,51
52,1696246635792,0.71533203,-0.004699707,0.7243042,0.265625,-3.546875,-0.375,52
53,1696246635832,0.6569824,0.011413574,0.680603,-0.125,-4.65625,-1.5,53
54,1696246635872,0.6621094,0.027770996,0.7802124,1.5,-4.546875,-3.046875,54
55,1696246635912,0.68066406,0.038513184,0.77679443,0.265625,-2.25,0.515625,55
56,1696246635952,0.673584,0.036315918,0.7855835,2.0,-1.09375,1.125,56
57,1696246635992,0.67529297,0.035095215,0.8161011,0.90625,-0.625,2.515625,57
58,1696246636032,0.5998535,0.024353027,0.7838745,-0.640625,1.171875,3.328125,58
59,1696246636072,0.6401367,0.058532715,0.729187,2.203125,1.6875,1.84375,59
60,1696246636112,0.7285156,0.09539795,0.9032593,3.46875,12.328125,2.921875,60
61,1696246636152,0.56811523,-0.006652832,0.6259155,0.25,-3.46875,0.390625,61
62,1696246636192,0.69262695,0.026794434,0.8085327,-2.3125,1.828125,-4.359375,62
63,1696246636232,0.6894531,0.030456543,0.730896,0.28125,-2.171875,0.046875,63
64,1696246636272,0.6713867,-0.020324707,0.75994873,0.96875,-5.140625,-0.84375,64
65,1696246636312,0.64331055,0.02557373,0.74676514,1.625,-0.890625,-3.9375,65
66,1696246636352,0.7092285,0.031921387,0.7772827,0.75,0.328125,1.078125,66
67,1696246636392,0.7116699,0.031433105,0.79486084,2.203125,-0.3125,3.203125,67
68,1696246636432,0.64453125,0.0028686523,0.7682495,0.0625,0.53125,3.40625,68
69,1696246636472,0.6520996,0.04144287,0.7687378,-0.515625,3.15625,1.890625,69
70,1696246636512,0.689209,0.036071777,0.7284546,-0.265625,4.125,2.03125,70
71,1696246636552,0.80029297,0.022888184,0.72210693,-0.90625,25.921875,1.515625,71
72,1696246636592,0.59643555,-0.00079345703,0.7579956,-6.984375,7.234375,1.3125,72
73,1696246636632,0.6628418,0.012390137,0.80145264,-4.4375,-2.984375,-3.0625,73
74,1696246636672,0.69262695,0.01751709,0.78045654,-8.84375,-8.265625,-4.734375,74
75,1696246636712,0.7102051,-0.003967285,0.7379761,-10.53125,-12.453125,-2.484375,75
76,1696246636752,0.70825195,-0.0005493164,0.7321167,-7.59375,-3.234375,-3.03125,76
77,1696246636792,0.6867676,0.03729248,0.6832886,-2.890625,0.765625,-2.71875,77
78,1696246636832,0.6726074,0.05999756,0.7362671,0.171875,4.171875,-0.234375,78
79,1696246636872,0.7319336,0.0602417,0.76116943,1.3125,5.125,1.875,79
80,1696246636912,0.689209,0.0602417,0.80023193,2.28125,2.0625,2.75,80
81,1696246636952,0.6940918,0.07244873,0.75164795,3.828125,-1.453125,-0.65625,81
82,1696246636992,0.7116699,0.047546387,0.7367554,3.875,-1.8125,0.734375,82
83,1696246637032,0.67089844,0.026306152,0.72332764,5.609375,1.46875,0.734375,83
84,1696246637072,0.7331543,0.028015137,0.66326904,7.75,-0.84375,1.796875,84
85,1696246637112,0.68188477,0.043395996,0.82196045,8.453125,-6.15625,3.90625,85
86,1696246637152,0.6533203,-0.0010375977,0.7279663,1.21875,-5.265625,3.59375,86
87,1696246637192,0.7480469,0.034851074,0.82318115,-0.65625,-1.484375,0.765625,87
88,1696246637232,0.6364746,0.019714355,0.77874756,1.234375,-2.953125,3.125,88
