,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696243114519,0.12402344,-1.1172485,-0.24957275,-4.015625,4.46875,3.234375,0
1,1696243114559,0.42919922,-0.71710205,-0.36187744,6.90625,11.796875,-3.234375,1
2,1696243114599,0.53100586,-0.6687622,-0.32037354,7.109375,10.53125,7.484375,2
3,1696243114639,0.49267578,-0.862854,-0.25445557,0.8125,-1.890625,2.765625,3
4,1696243114679,0.44213867,-0.96099854,-0.20684814,-3.6875,-8.265625,-3.046875,4
5,1696243114719,0.31298828,-0.89923096,-0.1885376,-6.125,-0.65625,-1.578125,5
6,1696243114759,0.31811523,-0.83551025,-0.26885986,-6.5,1.21875,-5.03125,6
7,1696243114799,0.45288086,-0.8567505,-0.2654419,-5.546875,0.0625,-0.671875,7
8,1696243114839,0.39160156,-0.9319458,-0.22442627,-5.265625,-0.59375,0.40625,8
9,1696243114879,0.34399414,-0.89678955,-0.20709229,-2.71875,-0.640625,-1.84375,9
10,1696243114919,0.3605957,-0.8464966,-0.18170166,-4.53125,-2.359375,-0.28125,10
11,1696243114959,0.32885742,-0.9011841,-0.18634033,-7.546875,-3.34375,-1.890625,11
12,1696243114999,0.33935547,-0.90338135,-0.1519165,-4.359375,-2.234375,-0.78125,12
13,1696243115039,0.35595703,-0.892395,-0.1663208,-5.75,-5.609375,-0.96875,13
14,1696243115079,0.3388672,-0.9319458,-0.16485596,-7.109375,-7.703125,-1.515625,14
15,1696243115119,0.31689453,-0.8960571,-0.11798096,-2.53125,-4.203125,-0.4375,15
16,1696243115159,0.33447266,-0.8496704,-0.11260986,-5.140625,-2.0,-0.953125,16
17,1696243115199,0.30664062,-0.85943604,-0.09576416,-2.0,-4.53125,-0.71875,17
18,1696243115239,0.30908203,-0.87457275,-0.12628174,-2.171875,-2.59375,-1.40625,18
19,1696243115279,0.33666992,-0.87213135,-0.08062744,0.90625,2.328125,0.0625,19
20,1696243115319,0.23779297,-0.83013916,-0.09307861,3.015625,4.78125,-1.46875,20
21,1696243115359,0.23779297,-0.80596924,-0.14703369,5.359375,8.921875,-2.84375,21
22,1696243115399,0.33276367,-0.90631104,-0.13458252,0.578125,11.28125,1.515625,22
23,1696243115439,0.24121094,-0.9783325,-0.26641846,1.40625,5.203125,-0.609375,23
24,1696243115479,0.4724121,-0.94488525,-0.3057251,14.1875,1.03125,4.4375,24
25,1696243115519,0.44970703,-0.881897,-0.22198486,19.609375,5.859375,19.171875,25
26,1696243115559,0.30444336,-0.79693604,-0.16973877,9.921875,-2.328125,2.203125,26
27,1696243115599,0.29907227,-0.93048096,-0.21954346,-3.640625,-2.890625,-0.71875,27
28,1696243115639,0.39526367,-0.94854736,-0.25128174,-2.15625,-0.984375,-2.46875,28
29,1696243115679,0.3774414,-0.9290161,-0.253479,0.5625,1.609375,-1.75,29
30,1696243115719,0.30786133,-0.88287354,-0.22613525,4.453125,-1.609375,-3.6875,30
31,1696243115759,0.33984375,-0.88360596,-0.20977783,0.453125,1.0,-4.3125,31
32,1696243115799,0.31420898,-0.89434814,-0.17901611,0.859375,-2.046875,-3.9375,32
33,1696243115839,0.25805664,-0.9085083,-0.20880127,-2.453125,-1.359375,-6.109375,33
34,1696243115879,0.2529297,-0.9182739,-0.20611572,-4.390625,1.046875,-7.890625,34
35,1696243115919,0.25146484,-0.9507446,-0.1638794,-4.890625,4.734375,-7.484375,35
36,1696243115959,0.23071289,-0.9163208,-0.27008057,-4.59375,-0.59375,-10.796875,36
