,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696244826349,-0.11645508,-0.9717407,0.17523193,-0.546875,-0.5625,-0.53125,0
1,1696244826389,-0.119628906,-0.9788208,0.17694092,0.1875,-0.46875,0.109375,1
2,1696244826429,-0.11450195,-0.98272705,0.18597412,0.84375,-1.078125,0.171875,2
3,1696244826469,-0.111572266,-0.9800415,0.17352295,1.515625,-0.296875,0.015625,3
4,1696244826509,-0.10913086,-0.9702759,0.17669678,1.625,0.28125,0.78125,4
5,1696244826549,-0.111572266,-0.98516846,0.16937256,2.296875,0.59375,0.984375,5
6,1696244826589,-0.11645508,-0.9768677,0.1642456,1.71875,0.484375,0.484375,6
7,1696244826629,-0.11621094,-0.96832275,0.17401123,2.359375,1.09375,0.5,7
8,1696244826669,-0.12011719,-0.9885864,0.17230225,2.390625,0.40625,1.1875,8
9,1696244826709,-0.103515625,-0.98516846,0.1605835,1.234375,0.8125,1.28125,9
10,1696244826749,-0.107666016,-0.9805298,0.15008545,1.453125,-0.046875,1.46875,10
11,1696244826789,-0.10644531,-0.97613525,0.1642456,2.75,-0.234375,1.53125,11
12,1696244826829,-0.08862305,-0.98638916,0.14398193,1.3125,2.046875,1.0625,12
13,1696244826869,-0.095703125,-0.97369385,0.15765381,0.796875,0.71875,0.9375,13
14,1696244826909,-0.10620117,-0.98565674,0.15374756,1.8125,-0.890625,1.140625,14
15,1696244826949,-0.10058594,-0.9854126,0.14691162,2.15625,-0.421875,1.078125,15
16,1696244826989,-0.09741211,-0.98101807,0.14276123,4.3125,-0.390625,0.953125,16
17,1696244827029,-0.095458984,-0.9920044,0.1383667,3.078125,0.921875,1.546875,17
18,1696244827069,-0.0847168,-0.9780884,0.1317749,0.671875,0.4375,1.1875,18
19,1696244827109,-0.09106445,-0.98565674,0.14031982,1.15625,-0.25,1.015625,19
20,1696244827149,-0.09008789,-0.98565674,0.13616943,0.875,-1.859375,0.984375,20
21,1696244827189,-0.09423828,-0.97735596,0.14007568,2.078125,-0.921875,0.9375,21
22,1696244827229,-0.09887695,-0.98321533,0.1251831,1.578125,0.203125,0.65625,22
