,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1696242902745,-0.103515625,0.9951172,0.1484375,-0.09375,-0.25,-0.09375,0.0,0.0,0.0,0
1,1696242902785,-0.109375,0.9873047,0.15039062,0.15625,-0.3125,-0.28125,0.0,0.0,0.0,1
2,1696242902825,-0.09863281,0.9921875,0.13476562,-0.21875,-0.59375,-0.40625,0.0,0.0,0.0,2
3,1696242902865,-0.10546875,0.98339844,0.15332031,-0.15625,-0.3125,-0.15625,0.0,0.0,0.0,3
4,1696242902905,-0.10058594,0.9902344,0.14550781,-0.40625,0.125,0.0625,-54.75,64.6875,-45.1875,4
5,1696242902945,-0.10058594,0.98828125,0.15527344,0.21875,-0.4375,0.75,0.0,0.0,0.0,5
6,1696242902985,-0.10253906,0.9902344,0.13964844,-0.09375,-0.65625,0.25,0.0,0.0,0.0,6
7,1696242903025,-0.091796875,0.98339844,0.15527344,-0.6875,-0.4375,0.1875,0.0,0.0,0.0,7
8,1696242903065,-0.109375,0.97753906,0.1484375,-0.75,-0.65625,-0.21875,0.0,0.0,0.0,8
9,1696242903105,-0.10546875,0.9921875,0.13574219,-0.75,-0.65625,-0.09375,0.0,0.0,0.0,9
10,1696242903145,-0.10546875,0.9863281,0.15722656,-0.625,-0.5,-0.46875,0.0,0.0,0.0,10
11,1696242903185,-0.103515625,0.9873047,0.14453125,0.28125,-0.3125,-0.34375,0.0,0.0,0.0,11
12,1696242903225,-0.09472656,0.9873047,0.14648438,0.09375,-0.1875,0.0625,0.0,0.0,0.0,12
13,1696242903265,-0.09375,0.98535156,0.15625,-1.0,-0.3125,0.4375,0.0,0.0,0.0,13
14,1696242903305,-0.08984375,0.99609375,0.16601562,-1.1875,-0.375,0.8125,0.0,0.0,0.0,14
15,1696242903345,-0.09667969,0.9736328,0.14355469,-0.4375,-0.5625,0.03125,0.0,0.0,0.0,15
16,1696242903385,-0.11425781,0.9892578,0.15039062,0.40625,-0.25,-0.46875,0.0,0.0,0.0,16
17,1696242903425,-0.091796875,0.98828125,0.16015625,0.34375,-0.375,-0.71875,-53.375,64.375,-43.125,17
18,1696242903465,-0.09863281,0.9941406,0.14746094,-0.4375,-0.1875,-0.21875,0.0,0.0,0.0,18
19,1696242903505,-0.099609375,0.96972656,0.1640625,-0.75,-0.5,0.1875,0.0,0.0,0.0,19
20,1696242903545,-0.10449219,0.98339844,0.14746094,-0.34375,-0.5625,0.125,0.0,0.0,0.0,20
21,1696242903585,-0.10449219,0.984375,0.16113281,0.15625,-0.25,0.1875,0.0,0.0,0.0,21
22,1696242903625,-0.1015625,0.98339844,0.14453125,0.875,-0.4375,-0.40625,0.0,0.0,0.0,22
23,1696242903665,-0.09667969,0.98828125,0.14355469,1.5,-1.15625,-1.09375,0.0,0.0,0.0,23
24,1696242903705,-0.09863281,0.98046875,0.15136719,0.09375,-0.375,-0.90625,0.0,0.0,0.0,24
25,1696242903745,-0.103515625,0.9873047,0.15039062,-0.40625,0.125,0.0625,0.0,0.0,0.0,81
26,1696242903785,-0.103515625,0.98339844,0.15625,0.78125,-0.125,-0.28125,0.0,0.0,0.0,82
27,1696242903825,-0.111328125,0.98535156,0.13867188,1.5625,-0.5625,-0.40625,0.0,0.0,0.0,83
28,1696242903865,-0.09667969,0.9902344,0.15820312,0.53125,-0.25,-0.65625,0.0,0.0,0.0,84
29,1696242903905,-0.10253906,0.99316406,0.14746094,-1.4375,-0.0625,-0.46875,0.0,0.0,0.0,85
30,1696242903945,-0.10644531,0.98828125,0.15820312,0.34375,-0.65625,0.03125,0.0,0.0,0.0,86
31,1696242903985,-0.09667969,0.98339844,0.14453125,0.28125,-0.125,-0.09375,0.0,0.0,0.0,87
32,1696242904025,-0.099609375,0.984375,0.15722656,-0.5625,0.375,0.125,0.0,0.0,0.0,88
33,1696242904065,-0.09277344,0.98535156,0.16503906,0.46875,-0.375,1.0625,0.0,0.0,0.0,89
34,1696242904105,-0.1015625,0.97753906,0.14550781,-0.15625,-0.375,-0.03125,0.0,0.0,0.0,90
35,1696242904145,-0.099609375,0.9921875,0.15527344,0.09375,-0.3125,-0.65625,0.0,0.0,0.0,91
36,1696242904185,-0.1015625,0.99609375,0.15429688,-1.0,-0.3125,-0.34375,-52.9375,64.375,-45.1875,92
37,1696242904225,-0.09863281,0.98828125,0.16601562,-0.4375,-0.5625,0.125,0.0,0.0,0.0,93
38,1696242904265,-0.10644531,0.98339844,0.16015625,-0.875,-0.25,-0.15625,0.0,0.0,0.0,94
39,1696242904305,-0.099609375,0.984375,0.15917969,-0.9375,-0.125,-0.15625,0.0,0.0,0.0,95
40,1696242904345,-0.09765625,0.9794922,0.15917969,-0.15625,-0.125,0.375,0.0,0.0,0.0,96
41,1696242904385,-0.087890625,0.98339844,0.15722656,-0.15625,-0.25,0.25,0.0,0.0,0.0,97
42,1696242904425,-0.099609375,0.9765625,0.16210938,-0.09375,-0.1875,-0.09375,0.0,0.0,0.0,98
43,1696242904465,-0.099609375,0.9785156,0.15820312,0.34375,-0.375,-0.34375,0.0,0.0,0.0,99
44,1696242904505,-0.10253906,0.9824219,0.15917969,0.15625,-0.3125,-0.40625,0.0,0.0,0.0,100
45,1696242904545,-0.10546875,0.9863281,0.15332031,-0.21875,-0.3125,-0.28125,0.0,0.0,0.0,101
46,1696242904585,-0.099609375,0.98535156,0.16796875,-0.09375,-0.4375,-0.28125,0.0,0.0,0.0,102
47,1696242904625,-0.09472656,0.9892578,0.1640625,0.03125,-0.3125,-0.09375,0.0,0.0,0.0,103
