,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1696242790424,-0.13671875,-0.12597656,0.9951172,-0.28125,0.0,0.09375,-67.0625,-3.125,-29.75,136
1,1696242790464,-0.13476562,-0.12988281,0.98535156,-0.40625,-0.25,0.21875,0.0,0.0,0.0,137
2,1696242790504,-0.13378906,-0.13183594,1.0117188,-0.40625,-0.125,0.40625,0.0,0.0,0.0,138
3,1696242790544,-0.14160156,-0.13574219,1.0019531,0.03125,-0.0625,-0.09375,0.0,0.0,0.0,139
4,1696242790584,-0.13867188,-0.13671875,0.984375,-0.09375,0.0625,-0.21875,0.0,0.0,0.0,140
5,1696242790624,-0.1328125,-0.14746094,0.9785156,-0.46875,0.0,0.03125,0.0,0.0,0.0,141
6,1696242790664,-0.13867188,-0.1328125,1.0009766,-0.21875,-0.0625,0.03125,0.0,0.0,0.0,142
7,1696242790704,-0.14453125,-0.13671875,0.984375,-0.40625,-0.25,0.03125,0.0,0.0,0.0,143
8,1696242790744,-0.13867188,-0.13574219,0.9980469,-0.28125,0.125,0.21875,0.0,0.0,0.0,144
9,1696242790784,-0.14648438,-0.14257812,1.0,-0.15625,-0.25,0.09375,0.0,0.0,0.0,145
10,1696242790824,-0.14355469,-0.13769531,1.0,-0.09375,-0.0625,-0.15625,0.0,0.0,0.0,146
11,1696242790864,-0.14355469,-0.140625,0.9863281,-0.28125,-0.0625,-0.09375,0.0,0.0,0.0,147
12,1696242790904,-0.14257812,-0.13574219,1.0126953,-0.59375,0.125,0.15625,-66.625,-3.875,-29.4375,148
13,1696242790944,-0.13378906,-0.13769531,0.9873047,0.15625,-0.3125,0.28125,0.0,0.0,0.0,149
14,1696242790984,-0.140625,-0.14355469,0.98046875,-0.15625,0.1875,0.21875,0.0,0.0,0.0,150
15,1696242791024,-0.140625,-0.140625,0.99609375,-0.15625,0.25,-0.15625,0.0,0.0,0.0,151
16,1696242791064,-0.13671875,-0.13476562,1.0068359,-0.40625,-0.15625,-0.25,0.0,0.0,0.0,152
17,1696242791104,-0.1328125,-0.13378906,0.98046875,0.9375,-0.09375,-0.1875,0.0,0.0,0.0,153
18,1696242791144,-0.140625,-0.13769531,0.9970703,-0.34375,0.34375,0.0625,0.0,0.0,0.0,154
19,1696242791184,-0.1328125,-0.15039062,1.0,-0.34375,0.15625,0.1875,0.0,0.0,0.0,155
20,1696242791224,-0.14257812,-0.14160156,1.0068359,0.40625,-0.5,-0.125,0.0,0.0,0.0,156
21,1696242791264,-0.13769531,-0.14160156,0.97265625,0.09375,0.46875,-0.0625,0.0,0.0,0.0,157
22,1696242791304,-0.13769531,-0.14453125,0.9941406,0.03125,-0.03125,-0.25,0.0,0.0,0.0,158
23,1696242791344,-0.13476562,-0.12695312,0.99609375,0.34375,-0.375,-0.1875,0.0,0.0,0.0,159
24,1696242791384,-0.13964844,-0.12207031,0.9824219,-0.09375,-0.28125,0.125,0.0,0.0,0.0,160
25,1696242791424,-0.14160156,-0.14257812,0.99121094,0.46875,0.03125,0.3125,-65.25,-3.875,-28.6875,161
26,1696242791464,-0.13085938,-0.1484375,0.98828125,0.21875,-0.21875,-0.125,0.0,0.0,0.0,162
27,1696242791504,-0.14355469,-0.13867188,1.0068359,-0.40625,-0.03125,-0.125,0.0,0.0,0.0,163
28,1696242791544,-0.140625,-0.13378906,0.984375,0.625,0.15625,-0.25,0.0,0.0,0.0,164
29,1696242791584,-0.13769531,-0.13769531,0.9941406,0.09375,-0.28125,0.125,0.0,0.0,0.0,165
30,1696242791624,-0.13183594,-0.13964844,0.9970703,-0.03125,0.40625,0.0625,0.0,0.0,0.0,166
31,1696242791664,-0.140625,-0.1328125,0.99609375,0.03125,-0.5,0.0625,0.0,0.0,0.0,167
32,1696242791704,-0.140625,-0.13378906,0.9873047,0.03125,0.09375,-0.0625,0.0,0.0,0.0,168
33,1696242791744,-0.140625,-0.12988281,0.99316406,0.09375,-0.09375,-0.25,0.0,0.0,0.0,169
34,1696242791784,-0.140625,-0.14355469,0.99316406,-0.21875,0.28125,-0.125,0.0,0.0,0.0,170
35,1696242791824,-0.13476562,-0.13574219,0.9902344,0.09375,-0.28125,-0.1875,0.0,0.0,0.0,171
36,1696242791864,-0.13964844,-0.140625,0.99316406,0.28125,-0.03125,0.25,0.0,0.0,0.0,172
37,1696242791904,-0.13183594,-0.140625,0.9941406,-0.03125,0.28125,0.0625,-66.0,-3.125,-30.5,173
38,1696242791944,-0.13769531,-0.14355469,0.99902344,0.09375,-0.21875,-0.1875,0.0,0.0,0.0,174
39,1696242791984,-0.140625,-0.13085938,0.98339844,-0.09375,0.09375,0.125,0.0,0.0,0.0,175
40,1696242792024,-0.13964844,-0.14257812,0.99609375,-0.03125,-0.09375,-0.0625,0.0,0.0,0.0,176
41,1696242792064,-0.13671875,-0.13378906,0.9951172,0.15625,0.15625,-0.125,0.0,0.0,0.0,177
42,1696242792104,-0.12988281,-0.13867188,0.99121094,0.09375,-0.15625,-0.125,0.0,0.0,0.0,178
43,1696242792144,-0.13183594,-0.140625,1.0039062,-0.34375,0.15625,0.125,0.0,0.0,0.0,179
44,1696242792184,-0.13671875,-0.1328125,0.99316406,0.28125,-0.15625,-0.0625,0.0,0.0,0.0,180
45,1696242792224,-0.1484375,-0.13574219,1.0,0.09375,0.03125,-0.125,0.0,0.0,0.0,181
46,1696242792264,-0.13769531,-0.14453125,1.0009766,0.5,0.15625,-0.125,0.0,0.0,0.0,182
47,1696242792304,-0.13476562,-0.13964844,1.0029297,0.09375,-0.34375,-0.125,0.0,0.0,0.0,183
48,1696242792344,-0.13769531,-0.13964844,1.0029297,-0.03125,-0.03125,0.125,0.0,0.0,0.0,184
49,1696242792384,-0.13769531,-0.13964844,0.9863281,0.5625,-0.21875,0.0,0.0,0.0,0.0,185
50,1696242792424,-0.13671875,-0.14160156,1.0019531,0.03125,-0.09375,0.0,-66.3125,-3.4375,-29.1875,186
51,1696242792464,-0.13769531,-0.14160156,0.9921875,0.09375,-0.09375,-0.1875,0.0,0.0,0.0,187
52,1696242792504,-0.12695312,-0.14257812,0.98828125,0.15625,-0.03125,0.0625,0.0,0.0,0.0,188
