# Sensor type: Thingy
# Activity type: Standing
# Activity subtype: Normal
# Subject id: s2104454
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696242832753,-1.0019531,0.053710938,-0.12011719,-0.0625,-1.71875,0.03125,0.0,0.0,0.0
1696242832780,-1.0009766,0.04296875,-0.10546875,0.0,-0.90625,-0.25,0.0,0.0,0.0
1696242832841,-0.9980469,0.043945312,-0.109375,-0.3125,-1.21875,-0.6875,0.0,0.0,0.0
1696242832870,-1.0068359,0.047851562,-0.09765625,0.65625,-2.3125,-0.5625,0.0,0.0,0.0
1696242832902,-1.0,0.032226562,-0.10644531,0.46875,-2.25,-0.3125,-103.375,35.125,-68.125
1696242832964,-0.99609375,0.046875,-0.11816406,0.78125,-0.78125,0.09375,0.0,0.0,0.0
1696242832992,-0.99316406,0.049804688,-0.109375,1.28125,0.3125,-0.3125,0.0,0.0,0.0
1696242833021,-0.9980469,0.061523438,-0.09277344,0.46875,0.5625,0.15625,0.0,0.0,0.0
1696242833086,-1.0048828,0.043945312,-0.09472656,-1.21875,0.125,0.40625,0.0,0.0,0.0
1696242833111,-0.9951172,0.03515625,-0.10058594,-0.3125,-0.59375,0.28125,0.0,0.0,0.0
1696242833143,-1.0039062,0.036132812,-0.091796875,0.0625,-0.125,0.21875,0.0,0.0,0.0
1696242833201,-1.0097656,0.041015625,-0.10253906,1.34375,0.0625,-0.125,0.0,0.0,0.0
1696242833233,-1.0068359,0.0625,-0.095703125,0.78125,-0.5,0.21875,0.0,0.0,0.0
1696242833263,-1.0,0.06347656,-0.10449219,-0.375,-0.96875,0.40625,0.0,0.0,0.0
1696242833323,-1.0,0.040039062,-0.10644531,0.21875,-0.71875,-0.0625,0.0,0.0,0.0
1696242833352,-1.0,0.047851562,-0.111328125,0.53125,-0.59375,-0.0625,0.0,0.0,0.0
1696242833387,-1.0019531,0.059570312,-0.103515625,0.84375,-0.25,0.40625,0.0,0.0,0.0
1696242833445,-1.0029297,0.044921875,-0.09863281,-1.71875,-0.25,0.09375,-104.5625,35.4375,-67.375
1696242833472,-1.0,0.05078125,-0.1015625,-0.125,-0.375,0.03125,0.0,0.0,0.0
1696242833502,-1.0058594,0.05078125,-0.11328125,-0.25,-0.84375,0.34375,0.0,0.0,0.0
1696242833564,-1.0029297,0.048828125,-0.10546875,-0.9375,-0.65625,0.34375,0.0,0.0,0.0
1696242833593,-1.0029297,0.051757812,-0.111328125,-1.28125,-0.53125,0.15625,0.0,0.0,0.0
1696242833656,-1.0048828,0.053710938,-0.10546875,-0.5,-0.3125,0.15625,0.0,0.0,0.0
1696242833683,-1.0009766,0.053710938,-0.095703125,-1.0625,-0.375,0.53125,0.0,0.0,0.0
1696242833712,-0.99316406,0.048828125,-0.10058594,-2.4375,-0.3125,0.40625,0.0,0.0,0.0
1696242833741,-1.0078125,0.047851562,-0.09863281,-0.8125,-0.25,0.65625,0.0,0.0,0.0
1696242833803,-0.99902344,0.046875,-0.09765625,-0.5625,0.3125,0.09375,0.0,0.0,0.0
1696242833831,-1.0107422,0.055664062,-0.103515625,-0.1875,0.0625,0.03125,0.0,0.0,0.0
1696242833863,-1.0048828,0.060546875,-0.10058594,0.28125,-0.375,0.15625,0.0,0.0,0.0
1696242833921,-0.9970703,0.051757812,-0.10449219,-0.5625,-0.375,0.21875,-103.8125,37.6875,-67.125
1696242833951,-1.0068359,0.053710938,-0.11816406,-0.375,-0.1875,-0.0625,0.0,0.0,0.0
1696242833980,-1.0019531,0.052734375,-0.10253906,-0.125,0.1875,0.21875,0.0,0.0,0.0
1696242834073,-1.0039062,0.048828125,-0.10839844,0.0,0.125,0.28125,0.0,0.0,0.0
1696242834076,-1.0,0.044921875,-0.10253906,-0.5625,-0.0625,0.15625,0.0,0.0,0.0
1696242834107,-1.0029297,0.047851562,-0.09277344,0.0625,0.0,-0.0625,0.0,0.0,0.0
1696242834164,-1.0039062,0.059570312,-0.10644531,-0.125,-0.25,0.03125,0.0,0.0,0.0
1696242834192,-0.99316406,0.052734375,-0.1015625,-0.625,-0.3125,0.15625,0.0,0.0,0.0
1696242834222,-1.0107422,0.056640625,-0.11230469,-0.4375,-0.25,0.09375,0.0,0.0,0.0
1696242834283,-1.0058594,0.051757812,-0.10644531,-0.0625,-0.0625,0.0,0.0,0.0,0.0
1696242834313,-1.0068359,0.055664062,-0.10253906,-0.3125,-0.375,0.0,0.0,0.0,0.0
1696242834342,-0.9921875,0.053710938,-0.103515625,-0.75,-0.125,0.03125,0.0,0.0,0.0
1696242834403,-1.0029297,0.047851562,-0.11328125,-0.1875,0.25,0.21875,0.0,0.0,0.0
