,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1696254916446,-0.6738281,-0.10040283,0.80877686,-0.25,-0.6875,0.171875
1,1696254916486,-0.67871094,-0.10211182,0.809021,-0.4375,-0.59375,0.421875
2,1696254916526,-0.67626953,-0.09576416,0.81414795,-0.140625,-0.296875,0.0625
3,1696254916566,-0.68188477,-0.09429932,0.8131714,0.140625,0.078125,-0.015625
4,1696254916606,-0.6779785,-0.09844971,0.82440186,0.5625,-0.078125,0.21875
5,1696254916646,-0.6730957,-0.10650635,0.8163452,0.515625,-0.21875,0.53125
6,1696254916686,-0.6796875,-0.09503174,0.81463623,-0.34375,-0.453125,0.71875
7,1696254916726,-0.67529297,-0.09576416,0.81903076,0.046875,-0.5625,0.40625
8,1696254916766,-0.6784668,-0.10015869,0.80999756,0.015625,-0.078125,0.4375
9,1696254916806,-0.67285156,-0.10455322,0.81463623,0.9375,-0.4375,0.484375
10,1696254916846,-0.67749023,-0.09844971,0.8151245,-0.03125,-0.15625,0.375
11,1696254916886,-0.67993164,-0.105773926,0.82366943,0.265625,-0.109375,0.515625
12,1696254916926,-0.6826172,-0.10650635,0.81463623,-0.0625,-0.203125,0.328125
13,1696254916966,-0.6723633,-0.101623535,0.8251343,0.421875,-0.390625,-0.125
14,1696254917006,-0.6748047,-0.10015869,0.8095093,-0.484375,-0.4375,-0.21875
15,1696254917046,-0.67041016,-0.09307861,0.81951904,-0.59375,-0.390625,-0.09375
16,1696254917086,-0.673584,-0.10089111,0.8241577,-0.15625,-0.3125,0.28125
17,1696254917126,-0.67211914,-0.11114502,0.8185425,-0.28125,-0.4375,0.171875
18,1696254917166,-0.6738281,-0.09991455,0.8173218,-0.46875,-0.703125,0.03125
19,1696254917206,-0.6826172,-0.10284424,0.8143921,-1.1875,-0.65625,-0.296875
20,1696254917246,-0.67700195,-0.09576416,0.8200073,-0.078125,-0.5,-0.203125
21,1696254917286,-0.6826172,-0.101867676,0.81903076,0.15625,-0.1875,-0.125
22,1696254917326,-0.6765137,-0.09429932,0.8148804,-0.234375,-0.234375,0.125
23,1696254917366,-0.6796875,-0.093322754,0.81829834,-0.875,-0.59375,0.0625
24,1696254917406,-0.6784668,-0.10015869,0.8251343,-0.34375,0.09375,0.234375
