,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1696254813061,-0.43896484,-0.10479736,-0.87457275,-0.015625,-0.34375,0.296875
1,1696254813101,-0.4428711,-0.09869385,-0.87164307,-0.109375,-0.09375,0.140625
2,1696254813141,-0.44018555,-0.101623535,-0.8711548,-0.046875,-0.25,0.203125
3,1696254813181,-0.43286133,-0.09503174,-0.8687134,0.1875,-0.40625,0.140625
4,1696254813221,-0.43481445,-0.09844971,-0.866272,-0.03125,-0.46875,0.140625
5,1696254813261,-0.44067383,-0.09649658,-0.86602783,-0.09375,-0.4375,-0.015625
6,1696254813301,-0.44384766,-0.10089111,-0.8735962,-0.03125,-0.375,0.203125
7,1696254813341,-0.43920898,-0.09967041,-0.86846924,-0.046875,-0.46875,0.140625
8,1696254813381,-0.43774414,-0.10064697,-0.8699341,-0.21875,-0.3125,0.28125
9,1696254813421,-0.43920898,-0.09893799,-0.8665161,0.234375,-0.359375,0.234375
10,1696254813461,-0.43920898,-0.09454346,-0.8670044,0.015625,-0.671875,0.15625
11,1696254813501,-0.4416504,-0.10211182,-0.87091064,0.0,-0.46875,0.15625
12,1696254813541,-0.4404297,-0.09576416,-0.8682251,-0.171875,-0.375,0.1875
13,1696254813581,-0.43847656,-0.09893799,-0.8670044,-0.078125,-0.390625,0.28125
14,1696254813621,-0.43603516,-0.101379395,-0.86602783,-0.078125,-0.265625,0.296875
15,1696254813661,-0.44384766,-0.10211182,-0.87164307,-0.140625,-0.359375,0.125
16,1696254813701,-0.43896484,-0.10284424,-0.86724854,-0.21875,-0.109375,0.140625
17,1696254813741,-0.44018555,-0.08917236,-0.8713989,-0.046875,-0.453125,0.171875
18,1696254813781,-0.4326172,-0.093566895,-0.87091064,-0.265625,-0.484375,0.09375
19,1696254813821,-0.43920898,-0.09503174,-0.86968994,-0.125,-0.609375,0.234375
20,1696254813861,-0.4440918,-0.09942627,-0.8731079,0.0,-0.546875,0.1875
21,1696254813901,-0.43774414,-0.10357666,-0.86968994,-0.125,-0.609375,0.265625
22,1696254813941,-0.43823242,-0.101135254,-0.86798096,-0.046875,-0.5625,0.265625
23,1696254813981,-0.4375,-0.10015869,-0.8718872,-0.21875,-0.5,0.171875
24,1696254814021,-0.43408203,-0.10040283,-0.87384033,-0.1875,-0.328125,0.3125
25,1696254814061,-0.4375,-0.0960083,-0.86260986,-0.09375,-0.359375,0.1875
26,1696254814101,-0.4404297,-0.0960083,-0.86724854,-0.1875,-0.328125,0.203125
27,1696254814141,-0.43945312,-0.10479736,-0.8687134,-0.1875,-0.5625,0.1875
28,1696254814181,-0.4440918,-0.10040283,-0.8648071,-0.34375,-0.390625,0.125
29,1696254814221,-0.44140625,-0.10015869,-0.866272,-0.234375,-0.359375,0.25
30,1696254814261,-0.43945312,-0.10089111,-0.86383057,-0.203125,-0.40625,0.015625
31,1696254814301,-0.4411621,-0.10601807,-0.86920166,-0.234375,-0.375,0.1875
32,1696254814341,-0.4411621,-0.101379395,-0.86798096,-0.28125,-0.5625,0.234375
33,1696254814381,-0.43969727,-0.10040283,-0.8682251,-0.140625,-0.671875,0.125
34,1696254814421,-0.43945312,-0.10308838,-0.8670044,-0.25,-0.59375,0.109375
35,1696254814461,-0.44384766,-0.10040283,-0.8740845,-0.40625,-0.453125,0.125
36,1696254814501,-0.44067383,-0.10284424,-0.87042236,-0.25,-0.515625,0.234375
37,1696254814541,-0.4362793,-0.10211182,-0.8670044,-0.0625,-0.40625,0.234375
38,1696254814581,-0.4375,-0.097717285,-0.8670044,-0.1875,-0.375,0.21875
39,1696254814621,-0.43774414,-0.10235596,-0.87091064,-0.171875,-0.71875,0.171875
40,1696254814661,-0.43554688,-0.1038208,-0.8701782,-0.328125,-0.515625,0.171875
41,1696254814701,-0.43920898,-0.10308838,-0.87042236,-0.328125,-0.375,0.125
42,1696254814741,-0.43408203,-0.10772705,-0.8706665,-0.453125,-0.734375,0.25
43,1696254814781,-0.4387207,-0.10479736,-0.866272,-0.125,-0.328125,0.25
44,1696254814821,-0.43603516,-0.105285645,-0.8699341,0.015625,-0.703125,0.15625
45,1696254814861,-0.43774414,-0.10235596,-0.86920166,-0.015625,-0.65625,0.09375
46,1696254814901,-0.43774414,-0.105285645,-0.8677368,-0.109375,-0.59375,0.1875
47,1696254814941,-0.4428711,-0.105773926,-0.8635864,-0.09375,-0.53125,0.109375
48,1696254814981,-0.44433594,-0.10406494,-0.87042236,-0.328125,-0.4375,0.3125
49,1696254815021,-0.4387207,-0.10284424,-0.8677368,-0.15625,-0.359375,0.078125
50,1696254815061,-0.44067383,-0.10748291,-0.8711548,-0.296875,-0.390625,0.3125
51,1696254815101,-0.4350586,-0.10650635,-0.8682251,-0.28125,-0.484375,0.140625
52,1696254815141,-0.43603516,-0.10845947,-0.86676025,-0.1875,-0.546875,0.03125
53,1696254815181,-0.43188477,-0.10040283,-0.8701782,-0.296875,-0.375,0.203125
54,1696254815221,-0.43652344,-0.10601807,-0.8670044,-0.15625,-0.625,0.265625
55,1696254815261,-0.43847656,-0.10699463,-0.8701782,-0.125,-0.515625,0.28125
56,1696254815301,-0.4326172,-0.10015869,-0.86724854,-0.203125,-0.4375,0.28125
57,1696254815341,-0.4350586,-0.093322754,-0.8701782,-0.03125,-0.71875,0.25
58,1696254815381,-0.4440918,-0.10748291,-0.8694458,-0.140625,-0.53125,0.359375
59,1696254815421,-0.43969727,-0.09820557,-0.8648071,0.015625,-0.34375,0.03125
60,1696254815461,-0.44067383,-0.10870361,-0.8677368,-0.234375,-0.453125,0.046875
61,1696254815501,-0.4326172,-0.10333252,-0.8665161,-0.046875,-0.375,0.28125
62,1696254815541,-0.43774414,-0.10211182,-0.864563,-0.0625,-0.5,0.25
63,1696254815581,-0.43603516,-0.105773926,-0.8677368,0.0,-0.484375,0.1875
64,1696254815621,-0.43652344,-0.10015869,-0.8694458,0.03125,-0.59375,0.171875
65,1696254815661,-0.43554688,-0.10284424,-0.8674927,-0.0625,-0.5,0.25
66,1696254815701,-0.4362793,-0.10455322,-0.8718872,-0.140625,-0.421875,0.0
67,1696254815741,-0.43286133,-0.10211182,-0.8706665,-0.0625,-0.421875,0.09375
68,1696254815781,-0.4350586,-0.10675049,-0.86724854,0.015625,-0.21875,0.21875
69,1696254815821,-0.43286133,-0.10601807,-0.8694458,0.015625,-0.453125,0.25
70,1696254815861,-0.43823242,-0.10333252,-0.8682251,0.125,-0.515625,0.3125
71,1696254815901,-0.43701172,-0.105773926,-0.86968994,-0.09375,-0.328125,0.109375
72,1696254815941,-0.43115234,-0.10723877,-0.8689575,0.046875,-0.6875,0.15625
73,1696254815981,-0.4387207,-0.1038208,-0.8665161,0.171875,-0.484375,0.109375
74,1696254816021,-0.43237305,-0.1026001,-0.8699341,0.109375,-0.59375,0.15625
75,1696254816061,-0.43701172,-0.10040283,-0.86505127,-0.03125,-0.390625,0.125
76,1696254816101,-0.43286133,-0.097473145,-0.8701782,0.0,-0.421875,0.25
77,1696254816141,-0.43945312,-0.10064697,-0.8701782,0.109375,-0.25,0.171875
78,1696254816181,-0.43603516,-0.09991455,-0.87335205,-0.1875,-0.34375,0.203125
79,1696254816221,-0.43896484,-0.10406494,-0.8694458,0.0625,-0.140625,0.1875
80,1696254816261,-0.4326172,-0.1038208,-0.8687134,0.15625,-0.359375,0.28125
81,1696254816301,-0.4362793,-0.101135254,-0.8665161,0.109375,-0.5,0.171875
82,1696254816341,-0.43432617,-0.10455322,-0.87335205,0.109375,-0.53125,0.15625
83,1696254816381,-0.4387207,-0.10430908,-0.86602783,0.15625,-0.484375,0.109375
84,1696254816421,-0.4399414,-0.101379395,-0.8674927,0.078125,-0.515625,0.109375
85,1696254816461,-0.43920898,-0.09991455,-0.8699341,0.09375,-0.390625,0.234375
86,1696254816501,-0.43408203,-0.097717285,-0.86968994,0.046875,-0.484375,0.15625
87,1696254816541,-0.43774414,-0.09674072,-0.8687134,-0.046875,-0.40625,0.1875
88,1696254816581,-0.4362793,-0.10675049,-0.8657837,0.0,-0.3125,0.40625
89,1696254816621,-0.43359375,-0.093566895,-0.8682251,0.140625,-0.4375,0.09375
90,1696254816661,-0.43432617,-0.09698486,-0.86920166,-0.078125,-0.296875,0.203125
91,1696254816701,-0.4399414,-0.097961426,-0.8711548,-0.015625,-0.234375,0.21875
92,1696254816741,-0.43603516,-0.09918213,-0.86260986,0.234375,-0.546875,0.15625
93,1696254816781,-0.43603516,-0.09991455,-0.8623657,0.0625,-0.40625,0.265625
94,1696254816821,-0.43823242,-0.10040283,-0.86505127,0.0625,-0.390625,0.078125
95,1696254816861,-0.44067383,-0.101379395,-0.8711548,-0.078125,-0.375,0.203125
96,1696254816901,-0.4326172,-0.09234619,-0.86920166,0.0,-0.46875,0.203125
97,1696254816941,-0.43676758,-0.10015869,-0.86920166,-0.046875,-0.34375,0.203125
98,1696254816981,-0.4399414,-0.10064697,-0.8718872,0.046875,-0.375,0.1875
99,1696254817021,-0.4428711,-0.097229004,-0.8694458,-0.0625,-0.53125,0.328125
100,1696254817061,-0.4350586,-0.09942627,-0.86309814,0.03125,-0.34375,0.125
101,1696254817101,-0.4338379,-0.09893799,-0.87164307,0.046875,-0.328125,0.21875
102,1696254817141,-0.43920898,-0.093322754,-0.8665161,0.015625,-0.265625,0.140625
103,1696254817181,-0.43188477,-0.097717285,-0.86798096,-0.109375,-0.25,0.109375
104,1696254817221,-0.4404297,-0.10357666,-0.8699341,0.03125,-0.40625,0.078125
105,1696254817261,-0.4375,-0.09942627,-0.86553955,-0.0625,-0.46875,0.203125
106,1696254817301,-0.4440918,-0.10015869,-0.87384033,0.03125,-0.359375,0.203125
107,1696254817341,-0.4399414,-0.09967041,-0.8623657,0.03125,-0.34375,0.25
108,1696254817381,-0.4416504,-0.09698486,-0.87164307,-0.234375,-0.328125,0.109375
109,1696254817421,-0.44262695,-0.10064697,-0.8657837,-0.09375,-0.5,0.21875
110,1696254817461,-0.43701172,-0.09942627,-0.8706665,0.109375,-0.265625,0.125
111,1696254817501,-0.43896484,-0.09942627,-0.864563,0.0625,-0.40625,0.203125
112,1696254817541,-0.44018555,-0.09942627,-0.86431885,-0.140625,-0.5,0.171875
113,1696254817581,-0.4404297,-0.09649658,-0.8699341,-0.078125,-0.34375,0.15625
114,1696254817621,-0.43945312,-0.09893799,-0.8633423,-0.0625,-0.390625,0.234375
115,1696254817661,-0.44262695,-0.09991455,-0.8694458,-0.234375,-0.578125,0.265625
116,1696254817701,-0.4404297,-0.105041504,-0.86187744,0.0625,-0.375,0.25
117,1696254817741,-0.4423828,-0.09991455,-0.87384033,0.0,-0.4375,0.21875
118,1696254817781,-0.4375,-0.093566895,-0.8706665,0.0,-0.4375,0.265625
119,1696254817821,-0.4416504,-0.10015869,-0.8713989,-0.015625,-0.34375,0.234375
120,1696254817861,-0.43798828,-0.09503174,-0.866272,-0.09375,-0.328125,0.09375
121,1696254817901,-0.43920898,-0.09967041,-0.8633423,-0.125,-0.375,0.203125
122,1696254817941,-0.44482422,-0.09185791,-0.86602783,-0.0625,-0.328125,0.25
123,1696254817981,-0.4375,-0.09283447,-0.8674927,-0.125,-0.453125,0.234375
124,1696254818021,-0.43945312,-0.09820557,-0.87042236,-0.171875,-0.578125,0.25
125,1696254818061,-0.44384766,-0.10333252,-0.8731079,-0.015625,-0.34375,0.109375
126,1696254818101,-0.4362793,-0.09259033,-0.86920166,-0.078125,-0.34375,0.203125
127,1696254818141,-0.4411621,-0.09259033,-0.86798096,0.015625,-0.375,0.15625
128,1696254818181,-0.4428711,-0.09967041,-0.8701782,-0.1875,-0.46875,0.1875
129,1696254818221,-0.44189453,-0.101623535,-0.86676025,0.109375,-0.46875,0.09375
130,1696254818261,-0.44433594,-0.101867676,-0.8687134,-0.015625,-0.609375,0.03125
131,1696254818301,-0.4362793,-0.093322754,-0.86553955,-0.015625,-0.546875,0.140625
132,1696254818341,-0.4375,-0.101379395,-0.8711548,-0.015625,-0.484375,0.21875
133,1696254818381,-0.4399414,-0.09820557,-0.8706665,0.046875,-0.296875,0.0625
134,1696254818421,-0.44189453,-0.101867676,-0.86431885,0.015625,-0.296875,0.34375
135,1696254818461,-0.43823242,-0.105285645,-0.87042236,-0.140625,-0.359375,0.125
136,1696254818501,-0.4411621,-0.09820557,-0.86431885,-0.109375,-0.390625,0.21875
137,1696254818541,-0.44384766,-0.09918213,-0.86676025,0.03125,-0.625,0.21875
138,1696254818581,-0.4326172,-0.101623535,-0.87506104,-0.09375,-0.453125,0.125
139,1696254818621,-0.4428711,-0.09942627,-0.8687134,-0.15625,-0.5625,0.109375
140,1696254818661,-0.43823242,-0.101623535,-0.8640747,-0.15625,-0.484375,0.078125
141,1696254818701,-0.44628906,-0.09844971,-0.8682251,0.046875,-0.3125,0.140625
142,1696254818741,-0.4428711,-0.10040283,-0.866272,-0.171875,-0.484375,0.140625
