,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1696254458409,0.49072266,-0.19683838,-0.78619385,0.09375,0.4375,-0.140625
1,1696254458449,0.4963379,-0.19610596,-0.77789307,-0.046875,0.640625,-0.078125
2,1696254458489,0.49365234,-0.19952393,-0.78985596,0.203125,0.578125,-0.125
3,1696254458529,0.49267578,-0.19830322,-0.78375244,-0.03125,0.6875,-0.1875
4,1696254458569,0.48950195,-0.19805908,-0.79156494,-0.5,0.546875,-0.1875
5,1696254458609,0.49487305,-0.20245361,-0.7925415,-0.359375,0.59375,-0.25
6,1696254458649,0.48754883,-0.20074463,-0.78985596,0.125,1.25,-0.046875
7,1696254458689,0.48461914,-0.19805908,-0.7896118,0.28125,0.875,0.21875
8,1696254458729,0.48046875,-0.20025635,-0.7842407,0.0,0.234375,0.140625
9,1696254458769,0.48364258,-0.19952393,-0.7925415,0.375,-0.546875,0.234375
10,1696254458809,0.48046875,-0.19952393,-0.8106079,-0.578125,-5.15625,0.28125
11,1696254458849,0.47192383,-0.18511963,-0.80596924,-5.328125,-19.84375,-0.078125
12,1696254458889,0.5732422,-0.20880127,-0.7630005,-8.90625,-17.890625,-1.578125
13,1696254458929,0.5437012,-0.22833252,-0.76226807,-7.21875,-11.921875,-2.0625
14,1696254458969,0.54418945,-0.23199463,-0.7210083,-5.15625,-3.65625,-1.4375
15,1696254459009,0.5366211,-0.23760986,-0.71417236,-2.515625,-1.890625,-0.4375
16,1696254459049,0.5332031,-0.237854,-0.72320557,-0.890625,-1.203125,0.40625
17,1696254459089,0.5517578,-0.23590088,-0.73883057,-0.71875,-0.59375,0.171875
18,1696254459129,0.5275879,-0.2444458,-0.7385864,0.0,0.4375,0.546875
19,1696254459169,0.5673828,-0.2341919,-0.7546997,-1.25,-0.515625,-0.125
20,1696254459209,0.55029297,-0.24053955,-0.7461548,-0.421875,-1.734375,0.3125
21,1696254459249,0.5632324,-0.24176025,-0.76104736,-0.859375,-0.359375,-0.015625
22,1696254459289,0.5383301,-0.24273682,-0.737854,0.09375,0.25,0.484375
23,1696254459329,0.5539551,-0.2366333,-0.73321533,-1.1875,-1.078125,-0.171875
24,1696254459369,0.5515137,-0.23297119,-0.7229614,-0.34375,-1.203125,0.046875
25,1696254459409,0.54345703,-0.25030518,-0.73931885,-0.34375,-0.421875,0.015625
26,1696254459449,0.5554199,-0.23809814,-0.7354126,-0.125,-1.328125,0.3125
27,1696254459489,0.5644531,-0.2420044,-0.737854,-0.25,-0.640625,0.34375
28,1696254459529,0.5493164,-0.24835205,-0.7319946,-0.328125,-0.359375,0.125
29,1696254459569,0.5493164,-0.2456665,-0.7371216,-0.46875,-0.359375,0.140625
30,1696254459609,0.5500488,-0.24346924,-0.736145,-0.125,-0.171875,0.171875
31,1696254459649,0.5463867,-0.2390747,-0.72320557,-0.265625,-0.046875,0.109375
32,1696254459689,0.55566406,-0.2539673,-0.7402954,-0.046875,-0.484375,0.5
33,1696254459729,0.5588379,-0.24298096,-0.7407837,-0.234375,-0.25,0.28125
34,1696254459769,0.5493164,-0.2456665,-0.7366333,-0.015625,-0.1875,0.28125
35,1696254459809,0.55444336,-0.2456665,-0.74102783,-0.8125,-0.640625,-0.078125
36,1696254459849,0.5473633,-0.24151611,-0.72906494,-0.859375,-1.3125,0.015625
37,1696254459889,0.5493164,-0.24908447,-0.73150635,-0.890625,-1.359375,-0.203125
38,1696254459929,0.56396484,-0.24957275,-0.7402954,-0.859375,-1.140625,-0.046875
39,1696254459969,0.5432129,-0.25006104,-0.7251587,-0.3125,-1.078125,0.25
40,1696254460009,0.54711914,-0.24664307,-0.7234497,-0.828125,-0.703125,0.03125
41,1696254460049,0.5541992,-0.25054932,-0.7312622,-0.34375,-0.609375,0.171875
42,1696254460089,0.55859375,-0.24957275,-0.74224854,-0.25,-0.796875,0.25
43,1696254460129,0.55126953,-0.24908447,-0.7283325,0.171875,-0.265625,0.4375
44,1696254460169,0.5566406,-0.25250244,-0.73101807,-0.046875,-0.140625,0.21875
45,1696254460209,0.56469727,-0.24932861,-0.7432251,-0.359375,-0.15625,-0.328125
46,1696254460249,0.5515137,-0.25079346,-0.739563,-0.609375,-0.390625,-0.15625
47,1696254460289,0.5427246,-0.2571411,-0.72857666,0.0,-0.03125,0.3125
48,1696254460329,0.5534668,-0.2576294,-0.7197876,0.203125,-0.53125,0.453125
49,1696254460369,0.55126953,-0.25299072,-0.73809814,0.265625,-0.703125,0.421875
50,1696254460409,0.56591797,-0.25054932,-0.7341919,-0.359375,-0.796875,0.171875
51,1696254460449,0.5583496,-0.2546997,-0.73931885,-0.6875,-0.6875,-0.015625
52,1696254460489,0.55737305,-0.24884033,-0.7319946,-0.53125,-0.375,-0.15625
53,1696254460529,0.5505371,-0.253479,-0.7324829,-0.9375,-0.78125,-0.125
54,1696254460569,0.54711914,-0.24761963,-0.736145,-2.28125,-1.578125,-0.5625
55,1696254460609,0.55859375,-0.2617798,-0.74224854,-3.203125,-1.421875,-1.0
56,1696254460649,0.5571289,-0.26470947,-0.7305298,-2.453125,-1.09375,-0.734375
57,1696254460689,0.54418945,-0.2744751,-0.70880127,-1.078125,-0.875,-0.234375
58,1696254460729,0.5488281,-0.27105713,-0.70440674,0.0,-0.59375,0.375
59,1696254460769,0.5578613,-0.26324463,-0.71832275,0.515625,-0.0625,0.6875
60,1696254460809,0.56103516,-0.25933838,-0.7251587,0.796875,0.921875,0.578125
61,1696254460849,0.5661621,-0.255188,-0.7070923,2.125,3.515625,0.90625
62,1696254460889,0.5358887,-0.26885986,-0.7073364,6.6875,9.578125,2.375
63,1696254460929,0.5102539,-0.23175049,-0.7124634,9.84375,12.984375,3.140625
64,1696254460969,0.49829102,-0.22076416,-0.7485962,11.03125,16.078125,2.484375
65,1696254461009,0.5073242,-0.20977783,-0.8128052,6.96875,11.953125,0.8125
66,1696254461049,0.49169922,-0.20269775,-0.815979,5.296875,8.4375,-0.109375
67,1696254461089,0.5019531,-0.20440674,-0.8345337,0.078125,2.4375,-0.984375
68,1696254461129,0.4765625,-0.21490479,-0.85284424,-2.75,-2.234375,-0.6875
69,1696254461169,0.45336914,-0.20562744,-0.8189087,-4.84375,-14.25,0.0625
70,1696254461209,0.49365234,-0.20928955,-0.7307739,-6.84375,-22.03125,-0.015625
71,1696254461249,0.5671387,-0.23980713,-0.78863525,-10.765625,-14.578125,-2.375
72,1696254461289,0.57543945,-0.25665283,-0.7246704,-8.046875,-8.015625,-2.375
73,1696254461329,0.53149414,-0.24786377,-0.7178345,-2.765625,-2.09375,-0.921875
74,1696254461369,0.545166,-0.2571411,-0.71539307,-1.140625,-1.890625,0.015625
75,1696254461409,0.53881836,-0.255188,-0.7293091,-0.5625,-0.453125,0.421875
76,1696254461449,0.5644531,-0.25054932,-0.75201416,-0.609375,-0.984375,0.421875
77,1696254461489,0.56030273,-0.2576294,-0.7571411,-0.84375,-0.546875,-0.21875
78,1696254461529,0.55126953,-0.25982666,-0.7373657,-1.140625,-0.609375,-0.203125
79,1696254461569,0.5593262,-0.25128174,-0.7468872,-1.96875,-1.421875,-0.421875
80,1696254461609,0.58691406,-0.24249268,-0.7632446,-1.921875,0.1875,-0.875
81,1696254461649,0.515625,-0.26568604,-0.6958618,0.046875,-0.078125,0.421875
82,1696254461689,0.5390625,-0.2630005,-0.71221924,0.28125,0.53125,0.71875
83,1696254461729,0.53344727,-0.2510376,-0.72076416,1.15625,-0.171875,0.984375
84,1696254461769,0.55688477,-0.2576294,-0.74420166,0.3125,-0.484375,0.4375
85,1696254461809,0.55908203,-0.2625122,-0.7373657,0.484375,0.5,0.390625
86,1696254461849,0.5571289,-0.25909424,-0.7461548,0.171875,0.09375,0.5
87,1696254461889,0.55126953,-0.2625122,-0.74005127,0.25,-0.296875,0.375
88,1696254461929,0.56811523,-0.2600708,-0.7415161,-0.6875,-0.71875,-0.109375
89,1696254461969,0.5307617,-0.25933838,-0.7324829,-0.578125,-0.765625,0.09375
90,1696254462009,0.54785156,-0.2600708,-0.73638916,-1.09375,-1.578125,-0.09375
91,1696254462049,0.5463867,-0.25567627,-0.73394775,-0.78125,-1.203125,-0.09375
92,1696254462089,0.5480957,-0.26641846,-0.7295532,-0.578125,-1.734375,0.203125
93,1696254462129,0.56152344,-0.2642212,-0.7337036,-0.609375,-1.234375,0.09375
94,1696254462169,0.5493164,-0.26153564,-0.7227173,-0.375,-0.8125,0.140625
95,1696254462209,0.56103516,-0.26348877,-0.73516846,-0.8125,-0.53125,-0.046875
96,1696254462249,0.54663086,-0.27105713,-0.7268677,-0.390625,-0.25,0.34375
97,1696254462289,0.5461426,-0.25811768,-0.7283325,-0.28125,-0.53125,0.0625
98,1696254462329,0.55908203,-0.2600708,-0.7317505,0.171875,-0.109375,0.359375
99,1696254462369,0.55688477,-0.2666626,-0.73516846,0.03125,-0.296875,0.234375
100,1696254462409,0.55737305,-0.26568604,-0.73809814,-0.375,-0.546875,0.015625
101,1696254462449,0.55200195,-0.2630005,-0.7293091,-0.375,-0.65625,0.15625
102,1696254462489,0.5500488,-0.26763916,-0.7293091,-0.40625,-0.484375,0.09375
103,1696254462529,0.55615234,-0.26446533,-0.72369385,-0.3125,-0.671875,0.234375
104,1696254462569,0.5493164,-0.2703247,-0.7251587,-0.25,-0.515625,0.15625
105,1696254462609,0.5515137,-0.25909424,-0.72662354,0.125,-0.40625,0.265625
106,1696254462649,0.5432129,-0.26397705,-0.72369385,0.15625,-0.953125,0.40625
107,1696254462689,0.54907227,-0.26470947,-0.7251587,0.15625,-0.8125,0.265625
108,1696254462729,0.55981445,-0.26153564,-0.7390747,-0.6875,-0.5,-0.03125
109,1696254462769,0.55126953,-0.27130127,-0.725647,-0.5625,-0.421875,-0.015625
110,1696254462809,0.55371094,-0.25909424,-0.723938,-0.3125,-0.9375,0.109375
111,1696254462849,0.5439453,-0.2720337,-0.7210083,0.046875,-0.40625,0.328125
112,1696254462889,0.5566406,-0.2695923,-0.7234497,0.125,-0.078125,0.234375
113,1696254462929,0.5534668,-0.26226807,-0.73028564,-0.046875,-0.71875,0.34375
114,1696254462969,0.56225586,-0.26568604,-0.74468994,-0.390625,-0.796875,0.078125
115,1696254463009,0.54785156,-0.27642822,-0.7288208,-0.046875,-0.3125,0.296875
116,1696254463049,0.5541992,-0.2642212,-0.7280884,-0.171875,-0.5625,0.203125
117,1696254463089,0.5500488,-0.26519775,-0.72125244,-0.09375,-0.875,0.109375
118,1696254463129,0.5515137,-0.27178955,-0.7337036,-0.09375,-0.65625,0.421875
119,1696254463169,0.5527344,-0.26397705,-0.7161255,0.28125,-0.546875,0.390625
120,1696254463209,0.5515137,-0.2630005,-0.7295532,-0.09375,-0.5,0.21875
121,1696254463249,0.5541992,-0.26715088,-0.7341919,-0.515625,-0.515625,-0.125
122,1696254463289,0.5515137,-0.2715454,-0.7337036,-0.390625,-0.46875,0.09375
123,1696254463329,0.5539551,-0.27130127,-0.73223877,-0.484375,0.3125,0.09375
124,1696254463369,0.54418945,-0.26397705,-0.7359009,-1.109375,-1.21875,-0.015625
125,1696254463409,0.5498047,-0.27056885,-0.7241821,-0.953125,-1.515625,-0.1875
126,1696254463449,0.5637207,-0.27130127,-0.73272705,-1.390625,-0.4375,-0.359375
127,1696254463489,0.5427246,-0.28179932,-0.71466064,0.46875,0.765625,0.328125
128,1696254463529,0.5605469,-0.270813,-0.71539307,0.0,2.515625,0.1875
129,1696254463569,0.5439453,-0.27838135,-0.7229614,5.421875,8.875,0.890625
130,1696254463609,0.5061035,-0.25689697,-0.69122314,8.1875,10.484375,2.46875
131,1696254463649,0.50439453,-0.25152588,-0.74176025,8.40625,11.96875,2.078125
132,1696254463689,0.5012207,-0.2312622,-0.78912354,6.578125,9.25,1.578125
133,1696254463729,0.5095215,-0.22662354,-0.8128052,3.40625,4.3125,0.71875
134,1696254463769,0.5102539,-0.2312622,-0.833313,0.25,0.046875,-0.09375
135,1696254463809,0.50097656,-0.237854,-0.82818604,-2.046875,-6.9375,-0.09375
136,1696254463849,0.49121094,-0.22442627,-0.7595825,-5.40625,-19.203125,0.234375
137,1696254463889,0.5605469,-0.25201416,-0.71343994,-6.71875,-12.734375,-1.03125
138,1696254463929,0.55029297,-0.26202393,-0.7229614,-4.8125,-6.046875,-1.125
139,1696254463969,0.532959,-0.2539673,-0.7180786,-2.46875,-1.671875,-0.71875
140,1696254464009,0.5222168,-0.25030518,-0.6995239,-0.703125,-1.46875,0.1875
141,1696254464049,0.5498047,-0.26080322,-0.7383423,-1.046875,-1.515625,0.15625
142,1696254464089,0.5546875,-0.26397705,-0.7354126,-1.453125,-2.03125,-0.125
143,1696254464129,0.55810547,-0.2649536,-0.74664307,-0.875,-1.390625,0.03125
144,1696254464169,0.5527344,-0.26568604,-0.72906494,-0.65625,-0.265625,0.078125
145,1696254464209,0.5541992,-0.26275635,-0.7334595,-0.484375,-0.328125,0.21875
146,1696254464249,0.5488281,-0.26226807,-0.73809814,-0.890625,-0.421875,-0.125
147,1696254464289,0.5385742,-0.25811768,-0.7139282,-0.25,-0.640625,0.0
148,1696254464329,0.5517578,-0.2703247,-0.72125244,-0.328125,-0.359375,0.203125
149,1696254464369,0.5522461,-0.2571411,-0.7317505,-0.21875,-0.21875,-0.109375
150,1696254464409,0.55859375,-0.2642212,-0.73687744,-0.9375,-1.125,-0.390625
151,1696254464449,0.55493164,-0.2732544,-0.74224854,-0.734375,-0.640625,-0.25
152,1696254464489,0.53027344,-0.27374268,-0.7197876,0.515625,-0.828125,0.40625
153,1696254464529,0.5378418,-0.26226807,-0.7161255,0.453125,-0.84375,0.78125
154,1696254464569,0.5576172,-0.26519775,-0.74224854,-0.359375,-1.734375,0.234375
155,1696254464609,0.56640625,-0.2666626,-0.7515259,-1.5625,-2.125,-0.484375
156,1696254464649,0.5566406,-0.2793579,-0.7402954,-1.625,-0.765625,-0.78125
157,1696254464689,0.5541992,-0.2727661,-0.72003174,-1.15625,-1.015625,-0.40625
158,1696254464729,0.5734863,-0.25933838,-0.7415161,-0.046875,-0.453125,0.34375
159,1696254464769,0.54052734,-0.26739502,-0.7107544,0.453125,-0.9375,0.59375
160,1696254464809,0.55566406,-0.27105713,-0.72735596,0.015625,-0.265625,0.359375
161,1696254464849,0.55126953,-0.27349854,-0.7202759,0.359375,-0.5,0.4375
162,1696254464889,0.55737305,-0.270813,-0.7293091,-0.015625,-0.59375,0.171875
163,1696254464929,0.5595703,-0.27301025,-0.7268677,-0.1875,-0.109375,-0.015625
164,1696254464969,0.5595703,-0.2703247,-0.7329712,-0.1875,0.28125,-0.03125
165,1696254465009,0.54467773,-0.26470947,-0.71539307,0.15625,-0.25,0.234375
166,1696254465049,0.53393555,-0.27520752,-0.7156372,-0.03125,-0.09375,0.140625
167,1696254465089,0.54833984,-0.2720337,-0.7156372,0.03125,-0.8125,0.265625
168,1696254465129,0.5505371,-0.26983643,-0.725647,0.015625,-0.671875,0.40625
169,1696254465169,0.55615234,-0.2732544,-0.73516846,0.578125,0.109375,0.484375
170,1696254465209,0.5600586,-0.2715454,-0.7295532,0.203125,-0.328125,0.328125
171,1696254465249,0.5576172,-0.26739502,-0.72442627,0.03125,-0.546875,0.25
172,1696254465289,0.5473633,-0.2727661,-0.7283325,-0.15625,-0.40625,0.1875
173,1696254465329,0.5517578,-0.269104,-0.71832275,-0.109375,-0.5,0.046875
174,1696254465369,0.546875,-0.2756958,-0.722229,0.03125,-0.328125,0.1875
175,1696254465409,0.55029297,-0.269104,-0.7295532,0.140625,-0.578125,0.375
176,1696254465449,0.5546875,-0.26519775,-0.73028564,-0.109375,-0.75,0.1875
177,1696254465489,0.55444336,-0.27496338,-0.73638916,-0.1875,-0.640625,0.203125
178,1696254465529,0.55249023,-0.26983643,-0.7271118,-0.140625,-0.140625,0.265625
179,1696254465569,0.5493164,-0.27105713,-0.72784424,-0.21875,-0.65625,0.125
180,1696254465609,0.5476074,-0.26397705,-0.7229614,-0.25,-0.703125,0.1875
181,1696254465649,0.5571289,-0.26593018,-0.72857666,-0.796875,-1.484375,0.0
182,1696254465689,0.546875,-0.27178955,-0.7107544,-0.1875,-0.453125,0.28125
183,1696254465729,0.5534668,-0.26568604,-0.7144165,-0.171875,-0.4375,0.296875
184,1696254465769,0.54956055,-0.2732544,-0.7288208,-0.046875,-0.34375,0.34375
185,1696254465809,0.5541992,-0.26885986,-0.7263794,-0.34375,-1.078125,0.0625
186,1696254465849,0.55029297,-0.27716064,-0.72906494,-0.1875,-0.296875,0.21875
187,1696254465889,0.5488281,-0.27227783,-0.73028564,0.21875,0.0625,0.21875
188,1696254465929,0.5439453,-0.26983643,-0.71588135,0.3125,-0.453125,0.5
189,1696254465969,0.5534668,-0.2703247,-0.7307739,0.0625,-0.765625,0.34375
190,1696254466009,0.55493164,-0.27642822,-0.73516846,0.03125,-0.515625,0.265625
191,1696254466049,0.55371094,-0.2695923,-0.7317505,0.078125,0.390625,0.453125
192,1696254466089,0.5644531,-0.2744751,-0.71588135,0.328125,1.5,0.21875
193,1696254466129,0.53808594,-0.27252197,-0.7180786,2.59375,8.203125,0.546875
194,1696254466169,0.5175781,-0.25787354,-0.6970825,5.25,9.59375,1.734375
195,1696254466209,0.49731445,-0.24346924,-0.71954346,6.78125,10.1875,1.9375
196,1696254466249,0.49804688,-0.24371338,-0.76763916,9.96875,8.90625,2.03125
197,1696254466289,0.5136719,-0.22369385,-0.7859497,7.671875,7.796875,1.109375
198,1696254466329,0.50561523,-0.2234497,-0.8284302,4.734375,5.21875,0.328125
199,1696254466369,0.5073242,-0.2197876,-0.82037354,1.078125,0.21875,-0.078125
200,1696254466409,0.48754883,-0.22686768,-0.83135986,-2.109375,-6.625,0.28125
201,1696254466449,0.46264648,-0.20806885,-0.82037354,-6.546875,-21.40625,0.78125
202,1696254466489,0.60253906,-0.26153564,-0.7280884,-10.75,-17.921875,-2.21875
203,1696254466529,0.576416,-0.26861572,-0.7424927,-6.625,-6.8125,-1.828125
204,1696254466569,0.5070801,-0.25201416,-0.692688,-2.3125,-2.109375,-0.25
205,1696254466609,0.53686523,-0.2539673,-0.7017212,-0.53125,-1.609375,0.765625
206,1696254466649,0.5422363,-0.255188,-0.72198486,0.5625,-1.625,0.90625
207,1696254466689,0.5769043,-0.25079346,-0.75128174,-1.875,-1.28125,-0.4375
208,1696254466729,0.5566406,-0.26568604,-0.7390747,-0.28125,-1.015625,0.3125
209,1696254466769,0.56933594,-0.26715088,-0.7527466,-2.4375,-1.6875,-0.421875
210,1696254466809,0.5566406,-0.2625122,-0.7398071,-2.921875,-2.203125,-0.46875
211,1696254466849,0.5541992,-0.27349854,-0.725647,-3.828125,-2.34375,-0.6875
212,1696254466889,0.5588379,-0.26812744,-0.70977783,-2.8125,-1.484375,-0.4375
213,1696254466929,0.53808594,-0.26715088,-0.68829346,-1.59375,-1.671875,-0.046875
214,1696254466969,0.545166,-0.27911377,-0.7017212,-0.21875,-0.640625,0.28125
215,1696254467009,0.5583496,-0.27252197,-0.7192993,0.234375,-0.78125,0.546875
216,1696254467049,0.57177734,-0.27496338,-0.73321533,0.0,-0.140625,0.390625
217,1696254467089,0.5637207,-0.27545166,-0.7229614,-0.140625,-0.734375,0.28125
218,1696254467129,0.56518555,-0.27667236,-0.7334595,-0.40625,-0.125,0.015625
219,1696254467169,0.55981445,-0.27838135,-0.7214966,-0.1875,-0.546875,0.09375
