,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1696254408927,0.5041504,-0.19488525,-0.7727661,-0.15625,0.46875,0.046875
1,1696254408967,0.5,-0.19659424,-0.7749634,0.0625,0.609375,-0.125
2,1696254409007,0.50390625,-0.19830322,-0.786438,0.390625,1.15625,-0.046875
3,1696254409047,0.5029297,-0.1921997,-0.79571533,0.921875,1.78125,-0.109375
4,1696254409087,0.5007324,-0.19195557,-0.7920532,0.59375,1.203125,-0.265625
5,1696254409127,0.49487305,-0.19317627,-0.788147,0.125,0.71875,-0.28125
6,1696254409167,0.49145508,-0.18951416,-0.78741455,-0.296875,0.359375,-0.140625
7,1696254409207,0.49853516,-0.19415283,-0.788147,-0.1875,0.390625,-0.234375
8,1696254409247,0.4934082,-0.19659424,-0.7817993,-0.28125,0.578125,-0.265625
9,1696254409287,0.4873047,-0.19293213,-0.79156494,0.0,0.921875,-0.171875
10,1696254409327,0.48583984,-0.19268799,-0.79107666,0.0625,1.171875,-0.203125
11,1696254409367,0.48999023,-0.1975708,-0.7930298,0.03125,1.0,-0.1875
12,1696254409407,0.48510742,-0.20196533,-0.7944946,-0.359375,0.625,-0.078125
13,1696254409447,0.4855957,-0.19000244,-0.7905884,-0.515625,-0.15625,-0.125
14,1696254409487,0.4819336,-0.19952393,-0.78326416,-0.34375,-0.640625,-0.1875
15,1696254409527,0.47998047,-0.19830322,-0.7905884,-0.171875,-0.90625,0.140625
16,1696254409567,0.4807129,-0.19268799,-0.78302,0.015625,-1.546875,0.546875
17,1696254409607,0.49023438,-0.19683838,-0.7883911,0.328125,-1.578125,0.515625
18,1696254409647,0.4934082,-0.1975708,-0.7925415,0.71875,-1.359375,0.46875
19,1696254409687,0.4909668,-0.19488525,-0.78863525,0.40625,-0.953125,0.359375
20,1696254409727,0.4934082,-0.18829346,-0.7893677,0.375,-0.609375,0.203125
21,1696254409767,0.4934082,-0.19488525,-0.78082275,0.34375,0.265625,0.203125
22,1696254409807,0.4934082,-0.1921997,-0.78741455,0.203125,0.421875,0.140625
23,1696254409847,0.49072266,-0.19195557,-0.80303955,0.171875,0.15625,0.1875
24,1696254409887,0.4892578,-0.18511963,-0.7866821,-0.140625,-0.140625,0.0625
25,1696254409927,0.48779297,-0.19146729,-0.7908325,-0.375,-0.5,0.171875
26,1696254409967,0.48486328,-0.19439697,-0.7930298,-0.125,-0.65625,0.171875
27,1696254410007,0.4951172,-0.19195557,-0.7908325,-0.21875,-0.578125,0.1875
28,1696254410047,0.48999023,-0.19610596,-0.7937622,-0.28125,-0.4375,0.0625
29,1696254410087,0.48486328,-0.19390869,-0.786438,-0.25,-0.796875,0.0625
30,1696254410127,0.48779297,-0.1921997,-0.79278564,-0.421875,-0.921875,0.0625
31,1696254410167,0.49145508,-0.19342041,-0.77130127,0.0625,-0.703125,0.265625
32,1696254410207,0.49487305,-0.19000244,-0.78863525,0.28125,-0.21875,0.40625
33,1696254410247,0.49316406,-0.18829346,-0.7896118,0.296875,-0.265625,0.265625
34,1696254410287,0.49291992,-0.1921997,-0.78790283,0.203125,-0.3125,0.25
35,1696254410327,0.49389648,-0.19293213,-0.80596924,-0.28125,-0.875,0.046875
36,1696254410367,0.49316406,-0.19293213,-0.79815674,-0.21875,-0.765625,-0.0625
37,1696254410407,0.49560547,-0.1831665,-0.79156494,-0.265625,-0.734375,0.0
38,1696254410447,0.48266602,-0.18951416,-0.7866821,-0.21875,-0.625,-0.03125
39,1696254410487,0.49536133,-0.19024658,-0.772522,-0.1875,-0.859375,0.140625
40,1696254410527,0.49829102,-0.1951294,-0.79571533,-0.140625,-0.703125,0.078125
41,1696254410567,0.49438477,-0.19268799,-0.7896118,-0.03125,-0.78125,0.15625
42,1696254410607,0.49291992,-0.19903564,-0.7876587,0.140625,-0.296875,0.3125
43,1696254410647,0.49731445,-0.19317627,-0.803772,0.09375,-0.21875,0.140625
44,1696254410687,0.48999023,-0.19488525,-0.78497314,0.0,-0.109375,0.078125
45,1696254410727,0.48828125,-0.18560791,-0.77423096,0.34375,-0.21875,0.15625
46,1696254410767,0.4946289,-0.19024658,-0.7905884,0.265625,0.078125,0.296875
47,1696254410807,0.4880371,-0.19146729,-0.7859497,0.328125,-0.125,0.46875
48,1696254410847,0.4970703,-0.18634033,-0.79766846,-0.046875,-0.390625,0.296875
49,1696254410887,0.50024414,-0.1897583,-0.7959595,-0.296875,-0.546875,0.140625
50,1696254410927,0.48754883,-0.18780518,-0.786438,0.046875,-0.53125,0.390625
51,1696254410967,0.4951172,-0.19171143,-0.7913208,0.015625,-0.921875,0.21875
52,1696254411007,0.49682617,-0.18878174,-0.7888794,-0.421875,-1.0625,0.3125
53,1696254411047,0.49926758,-0.19464111,-0.78741455,-0.390625,-0.296875,0.171875
54,1696254411087,0.48535156,-0.18292236,-0.7822876,-0.09375,0.234375,0.015625
55,1696254411127,0.48608398,-0.190979,-0.7871704,0.0,0.0625,0.015625
56,1696254411167,0.49609375,-0.1951294,-0.79522705,0.265625,-0.5,0.390625
57,1696254411207,0.49804688,-0.18780518,-0.79229736,0.171875,-1.0,0.40625
58,1696254411247,0.49804688,-0.18389893,-0.79156494,-0.046875,-1.765625,0.234375
