,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1696249481607,-0.3737793,-0.7546997,0.59173584,-0.484375,-0.546875,-0.15625
1,1696249481647,-0.37548828,-0.7593384,0.5951538,-1.0625,-0.078125,-0.109375
2,1696249481687,-0.37109375,-0.7649536,0.58807373,-2.078125,-0.734375,0.234375
3,1696249481727,-0.36865234,-0.75738525,0.60443115,-2.46875,-0.1875,-0.265625
4,1696249481767,-0.37280273,-0.7642212,0.6034546,-3.4375,-0.078125,-0.421875
5,1696249481807,-0.39501953,-0.7503052,0.6149292,-5.546875,-0.0625,-0.234375
6,1696249481847,-0.4111328,-0.7366333,0.6779175,2.375,8.15625,0.46875
7,1696249481887,-0.36645508,-0.79400635,0.6095581,5.765625,11.234375,1.96875
8,1696249481927,-0.37475586,-0.77545166,0.5685425,3.234375,4.8125,-0.046875
9,1696249481967,-0.35595703,-0.7359009,0.61883545,5.84375,1.21875,0.9375
10,1696249482007,-0.35083008,-0.7605591,0.5907593,3.59375,0.375,1.578125
11,1696249482047,-0.3239746,-0.77423096,0.574646,3.296875,0.296875,3.765625
12,1696249482087,-0.33325195,-0.7896118,0.5758667,11.5625,1.15625,4.484375
13,1696249482127,-0.33935547,-0.7959595,0.57562256,8.625,1.53125,3.0625
14,1696249482167,-0.32983398,-0.7744751,0.56292725,4.140625,0.859375,1.46875
15,1696249482207,-0.33520508,-0.7905884,0.5621948,11.015625,1.15625,2.125
16,1696249482247,-0.31933594,-0.8208618,0.56292725,6.546875,-0.4375,2.640625
17,1696249482287,-0.33911133,-0.79571533,0.55584717,1.515625,-1.375,1.8125
18,1696249482327,-0.3178711,-0.80718994,0.5565796,2.546875,-2.28125,0.5
19,1696249482367,-0.32299805,-0.8171997,0.5463257,1.8125,-2.078125,0.546875
20,1696249482407,-0.33081055,-0.79644775,0.5343628,-1.34375,-2.984375,0.109375
21,1696249482447,-0.33129883,-0.7984009,0.54071045,-1.234375,-2.859375,0.390625
22,1696249482487,-0.32885742,-0.8201294,0.54974365,-1.8125,-3.109375,0.515625
23,1696249482527,-0.32958984,-0.81817627,0.5482788,-2.125,-4.53125,0.15625
24,1696249482567,-0.32128906,-0.7896118,0.54241943,-2.9375,-4.703125,-0.984375
25,1696249482607,-0.32373047,-0.78741455,0.5463257,-1.34375,-3.609375,-1.03125
26,1696249482647,-0.32861328,-0.81500244,0.5499878,0.8125,-2.34375,0.03125
27,1696249482687,-0.32128906,-0.798645,0.5314331,-0.578125,-2.515625,0.234375
28,1696249482727,-0.32250977,-0.7659302,0.4862671,7.34375,-3.515625,-0.359375
29,1696249482767,-0.29638672,-0.7854614,0.5036011,7.5625,-5.453125,1.796875
30,1696249482807,-0.35131836,-0.7918091,0.48187256,-7.0,-8.484375,1.375
31,1696249482847,-0.4033203,-0.81085205,0.59783936,-4.8125,-4.5625,-1.140625
32,1696249482887,-0.32202148,-0.85284424,0.56048584,-7.6875,-2.53125,-2.5625
33,1696249482927,-0.34326172,-0.8479614,0.5314331,-8.96875,-1.828125,-3.765625
34,1696249482967,-0.3857422,-0.7720337,0.5463257,-3.125,-4.265625,-4.484375
35,1696249483007,-0.3881836,-0.73883057,0.57073975,-1.390625,1.21875,-2.609375
36,1696249483047,-0.3696289,-0.77423096,0.5639038,-8.078125,-1.65625,-0.953125
37,1696249483087,-0.37573242,-0.7966919,0.5819702,-8.09375,-3.890625,-3.328125
38,1696249483127,-0.36694336,-0.788147,0.5751343,-5.171875,-0.890625,-4.28125
39,1696249483167,-0.38745117,-0.7642212,0.5883179,-4.40625,0.265625,-2.453125
40,1696249483207,-0.40795898,-0.75982666,0.57733154,-3.421875,-0.453125,-1.375
41,1696249483247,-0.39648438,-0.7456665,0.58465576,-3.671875,-0.421875,-2.328125
42,1696249483287,-0.42089844,-0.7439575,0.602478,-6.328125,0.03125,-1.59375
43,1696249483327,-0.42211914,-0.739563,0.61761475,-5.34375,2.921875,-0.75
44,1696249483367,-0.43847656,-0.7493286,0.6713257,3.75,8.28125,1.46875
45,1696249483407,-0.41601562,-0.80059814,0.619812,9.75,11.90625,4.46875
46,1696249483447,-0.3618164,-0.75201416,0.60076904,8.78125,11.390625,3.921875
47,1696249483487,-0.31762695,-0.7490845,0.5687866,8.484375,7.546875,2.90625
48,1696249483527,-0.33374023,-0.7605591,0.5800171,8.703125,2.171875,4.546875
