# Sensor type: Respeck
# Activity type: Standing
# Activity subtype: Coughing
# Subject id: s2106809
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696251209261,-0.06201172,-0.9751587,0.22113037,3.4375,1.09375,-1.703125
1696251209301,-0.06640625,-0.98565674,0.24359131,5.453125,3.0,0.484375
1696251209341,-0.046142578,-0.9714966,0.21942139,3.59375,0.421875,1.5
1696251209382,-0.053222656,-0.97125244,0.20648193,2.3125,-0.421875,0.953125
1696251209422,-0.05029297,-0.9968872,0.21380615,5.203125,1.78125,1.875
1696251209462,-0.03540039,-0.9846802,0.21966553,5.578125,1.390625,2.546875
1696251209503,-0.048583984,-0.9961548,0.21258545,3.453125,-0.890625,2.515625
1696251209542,-0.026855469,-0.97979736,0.20062256,2.4375,-0.1875,2.25
1696251209582,-0.030273438,-0.972229,0.21380615,0.234375,-4.1875,2.421875
1696251209623,-0.032714844,-0.9678345,0.19403076,0.578125,-6.140625,3.4375
1696251209641,-0.017822266,-0.9697876,0.18157959,4.640625,-5.140625,2.796875
1696251209682,0.011962891,-0.9199829,0.13641357,7.984375,-6.09375,1.609375
1696251209722,-0.022705078,-0.8870239,0.11004639,20.078125,-9.484375,1.140625
1696251209762,0.020019531,-0.8447876,0.109802246,20.921875,-7.59375,1.578125
1696251209803,-0.07519531,-0.9656372,-0.0071411133,11.796875,-20.765625,8.390625
1696251209866,-0.061035156,-1.0859985,0.25701904,12.453125,-7.8125,19.71875
1696251209882,0.09008789,-1.0999146,0.21063232,-3.625,0.1875,2.90625
1696251209946,-0.012939453,-1.0733032,0.021911621,-5.796875,-11.1875,-10.03125
1696251209961,-0.026367188,-0.97979736,0.13201904,0.75,10.625,5.0
1696251210021,-0.013427734,-1.0513306,0.1749878,-6.5,0.515625,8.03125
1696251210041,0.029296875,-0.9961548,0.06951904,-2.21875,-2.515625,-0.828125
1696251210085,0.021484375,-0.8604126,0.007019043,-1.078125,-2.03125,-0.75
1696251210144,0.060058594,-0.9924927,0.13739014,-0.953125,3.390625,4.140625
1696251210161,-0.0017089844,-1.1504517,0.18255615,-6.953125,-8.859375,4.984375
1696251210223,-4.8828125E-4,-0.97662354,0.07244873,-6.171875,-3.625,-0.515625
1696251210242,-0.0017089844,-0.9326782,0.055358887,-4.234375,-7.390625,-2.40625
1696251210284,-2.4414062E-4,-0.9834595,0.082214355,-4.375,-4.046875,5.484375
1696251210323,0.092285156,-1.0015259,0.13909912,-4.875,5.0,1.4375
1696251210365,0.15185547,-1.0112915,0.1359253,1.671875,-5.171875,-0.484375
1696251210403,-0.005859375,-0.92315674,0.20941162,-10.234375,-15.1875,5.625
1696251210442,-0.2133789,-0.8538208,0.20111084,-10.234375,-6.15625,11.953125
1696251210483,0.07348633,-1.1531372,0.24456787,0.796875,22.03125,6.046875
