,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1696251294903,-0.036132812,-0.9795532,0.19378662,0.109375,-0.265625,-0.03125
1,1696251294943,-0.028564453,-0.9837036,0.20013428,-0.078125,0.25,0.0
2,1696251294983,-0.028320312,-0.986145,0.19891357,-1.0,-0.484375,0.078125
3,1696251295023,-0.01977539,-0.96539307,0.20501709,0.15625,-0.265625,-0.421875
4,1696251295063,-0.021728516,-0.97979736,0.19891357,-1.203125,-0.328125,-0.34375
5,1696251295103,-0.030029297,-0.98101807,0.2008667,-1.90625,-1.03125,-0.6875
6,1696251295143,-0.036132812,-0.9768677,0.20819092,-0.4375,-0.359375,-0.203125
7,1696251295183,-0.03100586,-0.98638916,0.19744873,-1.71875,-1.1875,-0.140625
8,1696251295223,-0.028076172,-0.96661377,0.20501709,-1.09375,-0.109375,-0.078125
9,1696251295263,-0.028808594,-0.98028564,0.22088623,-1.359375,-0.578125,-0.1875
10,1696251295303,-0.028564453,-0.97735596,0.22528076,-2.015625,-1.625,-0.125
11,1696251295343,-0.03491211,-0.96417236,0.21502686,-1.78125,-1.515625,-0.109375
12,1696251295383,-0.016601562,-0.96221924,0.22137451,-1.203125,-0.640625,1.0
13,1696251295423,-0.021972656,-0.98638916,0.23699951,-1.984375,-0.46875,1.6875
14,1696251295463,-0.044921875,-0.99298096,0.25579834,-1.328125,1.78125,2.140625
15,1696251295503,-0.041503906,-0.99053955,0.26361084,-0.5,3.265625,1.40625
16,1696251295543,-0.03466797,-0.9680786,0.22503662,-5.65625,2.703125,-0.703125
17,1696251295583,-0.02368164,-0.98028564,0.21820068,-0.84375,2.75,-0.703125
18,1696251295623,-0.0087890625,-1.0007935,0.21917725,0.78125,-3.90625,1.203125
19,1696251295663,-0.021484375,-0.95147705,0.22576904,2.953125,-4.96875,2.265625
20,1696251295703,-0.03881836,-0.97613525,0.23236084,5.65625,-1.640625,1.8125
21,1696251295743,-0.033447266,-0.9834595,0.19207764,3.1875,-0.171875,1.375
22,1696251295783,0.00024414062,-1.0020142,0.23309326,13.8125,9.375,2.578125
23,1696251295823,-0.02758789,-0.99176025,0.17938232,11.1875,6.015625,1.953125
24,1696251295863,-0.03857422,-0.95684814,0.13690186,2.84375,2.28125,2.140625
25,1696251295903,0.005859375,-0.94122314,0.17474365,-0.171875,2.015625,3.234375
26,1696251295943,0.020019531,-0.9829712,0.1942749,-0.75,-5.4375,0.484375
27,1696251295983,-0.0029296875,-0.97491455,0.17401123,-4.359375,-7.0625,-1.25
28,1696251296023,-0.010498047,-0.97320557,0.1774292,-6.34375,-4.046875,0.4375
29,1696251296063,-0.01928711,-0.9763794,0.19158936,-5.0,-3.921875,0.75
30,1696251296103,-0.00048828125,-0.9788208,0.16864014,-2.296875,-4.53125,-0.421875
31,1696251296143,0.01171875,-0.9585571,0.22406006,-1.875,-3.015625,-0.078125
