,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1696258402809,-0.9814453,0.18359375,0.059570312,-8.4375,2.15625,2.21875,0.0,0.0,0.0
1,1696258402849,-0.9785156,0.18164062,0.06640625,-9.71875,3.375,1.84375,0.0,0.0,0.0
2,1696258402889,-0.9609375,0.17382812,0.07421875,-13.8125,-0.40625,4.53125,-303.75,-119.1875,75.5625
3,1696258402929,-0.9970703,0.13964844,0.08203125,-10.6875,-6.5625,7.53125,0.0,0.0,0.0
4,1696258402969,-1.0087891,0.13964844,0.078125,-5.375,-5.84375,5.9375,0.0,0.0,0.0
5,1696258403009,-1.015625,0.13769531,0.115234375,-4.71875,-7.25,4.0625,0.0,0.0,0.0
6,1696258403049,-1.0234375,0.12402344,0.13671875,-4.9375,-16.46875,-0.71875,0.0,0.0,0.0
7,1696258403089,-1.0234375,0.12109375,0.13574219,4.15625,-25.25,-9.9375,0.0,0.0,0.0
8,1696258403129,-1.0341797,0.14453125,0.17871094,12.875,-46.5625,-23.1875,0.0,0.0,0.0
9,1696258403169,-0.9746094,0.1484375,0.26464844,4.375,-82.875,-38.1875,0.0,0.0,0.0
10,1696258403209,-1.1787109,0.10253906,0.3408203,-21.71875,-109.125,-68.59375,0.0,0.0,0.0
11,1696258403249,-1.1201172,0.16992188,0.4033203,-40.78125,-52.71875,-80.78125,0.0,0.0,0.0
12,1696258403289,-0.91308594,0.06738281,0.35253906,11.65625,-70.28125,-52.84375,0.0,0.0,0.0
13,1696258403329,-0.7988281,-0.1484375,0.3515625,37.53125,-70.71875,-30.3125,0.0,0.0,0.0
14,1696258403369,-0.75878906,-0.0087890625,0.37890625,42.78125,-41.84375,-7.375,138.4375,131.0,35.0625
15,1696258403409,-0.61035156,0.12011719,0.33496094,37.40625,-27.03125,-1.75,0.0,0.0,0.0
16,1696258403449,-0.70410156,0.060546875,0.3173828,9.875,18.625,-4.3125,0.0,0.0,0.0
17,1696258403489,-0.69140625,0.04296875,0.35546875,4.75,24.875,1.90625,0.0,0.0,0.0
18,1696258403529,-0.6933594,0.07519531,0.45507812,-2.625,27.65625,12.09375,0.0,0.0,0.0
19,1696258403569,-0.84472656,0.055664062,0.48632812,-17.46875,26.15625,30.21875,0.0,0.0,0.0
20,1696258403609,-0.77441406,0.095703125,0.23535156,16.28125,26.375,30.21875,0.0,0.0,0.0
21,1696258403649,-0.82714844,-0.017578125,0.32226562,19.28125,19.5,23.6875,0.0,0.0,0.0
22,1696258403689,-0.6845703,0.00390625,0.32910156,6.34375,29.375,-0.78125,0.0,0.0,0.0
23,1696258403729,-0.6894531,0.06933594,0.31445312,-26.0625,36.6875,1.84375,0.0,0.0,0.0
24,1696258403769,-0.7832031,0.35058594,0.4326172,-37.84375,42.8125,16.1875,0.0,0.0,0.0
25,1696258403809,-0.98535156,0.29296875,0.33984375,-29.84375,35.65625,27.0625,0.0,0.0,0.0
26,1696258403849,-0.9277344,0.07910156,0.29492188,-44.25,12.28125,30.90625,0.0,0.0,0.0
27,1696258403889,-1.3251953,0.26464844,0.234375,3.21875,-3.75,11.875,-109.5,-233.1875,153.25
