,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1696254810699,-0.052734375,0.9501953,0.28222656,0.125,0.25,0.03125,0.0,0.0,0.0
1,1696254810739,-0.051757812,0.9453125,0.28515625,0.0625,0.1875,0.03125,0.0,0.0,0.0
2,1696254810779,-0.06347656,0.94921875,0.27246094,0.0625,0.3125,0.03125,0.0,0.0,0.0
3,1696254810819,-0.048828125,0.95410156,0.26953125,0.0625,0.25,0.21875,0.0,0.0,0.0
4,1696254810859,-0.055664062,0.9482422,0.27734375,0.0,-0.125,0.09375,0.0,0.0,0.0
5,1696254810899,-0.05859375,0.95214844,0.2734375,0.25,0.25,0.09375,0.0,0.0,0.0
6,1696254810939,-0.0546875,0.9453125,0.27734375,0.0625,0.25,0.28125,0.0,0.0,0.0
7,1696254810979,-0.060546875,0.94921875,0.27246094,-0.25,0.0625,0.21875,0.0,0.0,0.0
8,1696254811019,-0.059570312,0.9472656,0.28515625,0.125,0.0625,-0.03125,-20.6875,68.4375,-207.8125
9,1696254811059,-0.057617188,0.9423828,0.2763672,0.0625,0.125,0.09375,0.0,0.0,0.0
10,1696254811099,-0.05859375,0.94628906,0.28320312,0.0,0.1875,0.03125,0.0,0.0,0.0
11,1696254811139,-0.045898438,0.9501953,0.2705078,-0.0625,0.0,0.21875,0.0,0.0,0.0
12,1696254811179,-0.060546875,0.9560547,0.28222656,0.0625,0.1875,0.15625,0.0,0.0,0.0
13,1696254811219,-0.059570312,0.9560547,0.2841797,0.0,0.1875,0.15625,0.0,0.0,0.0
14,1696254811259,-0.05078125,0.95703125,0.28222656,-0.1875,0.0625,0.15625,0.0,0.0,0.0
15,1696254811299,-0.057617188,0.9501953,0.27148438,0.0,0.0,0.34375,0.0,0.0,0.0
16,1696254811339,-0.05078125,0.9433594,0.2734375,0.25,0.0,0.21875,0.0,0.0,0.0
17,1696254811379,-0.060546875,0.94433594,0.27148438,0.0625,0.1875,0.09375,0.0,0.0,0.0
18,1696254811419,-0.048828125,0.9394531,0.2685547,0.1875,0.375,0.15625,0.0,0.0,0.0
19,1696254811459,-0.060546875,0.9609375,0.28125,0.0625,0.125,0.09375,0.0,0.0,0.0
20,1696254811499,-0.051757812,0.9511719,0.27539062,0.1875,0.0625,0.28125,0.0,0.0,0.0
21,1696254811539,-0.057617188,0.9511719,0.28125,0.125,-0.125,0.15625,-19.625,66.9375,-209.125
22,1696254811579,-0.064453125,0.9609375,0.2685547,0.125,0.125,-0.09375,0.0,0.0,0.0
23,1696254811619,-0.060546875,0.94921875,0.28222656,-0.1875,-0.0625,0.15625,0.0,0.0,0.0
24,1696254811659,-0.05859375,0.95703125,0.28222656,-0.1875,-0.0625,0.03125,0.0,0.0,0.0
25,1696254811699,-0.068359375,0.9482422,0.27441406,0.0625,-0.0625,0.21875,0.0,0.0,0.0
26,1696254811739,-0.059570312,0.94921875,0.27929688,0.0,0.0625,0.21875,0.0,0.0,0.0
27,1696254811779,-0.0546875,0.95703125,0.28027344,0.125,0.0625,0.03125,0.0,0.0,0.0
28,1696254811819,-0.0546875,0.95214844,0.27539062,0.25,-0.0625,0.03125,0.0,0.0,0.0
29,1696254811859,-0.0546875,0.9482422,0.2890625,0.1875,0.3125,0.15625,0.0,0.0,0.0
30,1696254811899,-0.057617188,0.9453125,0.28808594,-0.25,0.125,0.21875,0.0,0.0,0.0
31,1696254811939,-0.055664062,0.9433594,0.2705078,-0.25,0.1875,0.15625,0.0,0.0,0.0
32,1696254811979,-0.055664062,0.9472656,0.28222656,0.0,0.0625,0.03125,0.0,0.0,0.0
33,1696254812019,-0.056640625,0.9501953,0.28320312,0.1875,0.125,-0.03125,-21.875,69.3125,-207.625
34,1696254812059,-0.056640625,0.95410156,0.28027344,0.25,0.125,0.09375,0.0,0.0,0.0
35,1696254812099,-0.057617188,0.9550781,0.26953125,0.1875,0.1875,-0.03125,0.0,0.0,0.0
36,1696254812139,-0.05078125,0.9501953,0.27734375,0.0625,0.3125,-0.03125,0.0,0.0,0.0
37,1696254812179,-0.05859375,0.9433594,0.2763672,0.0,0.0625,0.28125,0.0,0.0,0.0
38,1696254812219,-0.052734375,0.94921875,0.2783203,0.125,-0.0625,0.28125,0.0,0.0,0.0
39,1696254812259,-0.060546875,0.9394531,0.26367188,0.1875,0.3125,0.03125,0.0,0.0,0.0
40,1696254812299,-0.055664062,0.94628906,0.27246094,0.0,0.0625,0.09375,0.0,0.0,0.0
41,1696254812339,-0.06347656,0.9511719,0.28320312,0.0,0.0,0.15625,0.0,0.0,0.0
42,1696254812379,-0.0546875,0.953125,0.27441406,0.0,0.125,0.09375,0.0,0.0,0.0
43,1696254812419,-0.05859375,0.9580078,0.2763672,-0.0625,0.1875,0.03125,0.0,0.0,0.0
44,1696254812459,-0.0625,0.9501953,0.26757812,0.0625,0.125,0.28125,0.0,0.0,0.0
45,1696254812499,-0.059570312,0.94921875,0.2939453,0.1875,0.1875,0.09375,0.0,0.0,0.0
46,1696254812539,-0.06640625,0.95214844,0.28320312,0.0625,0.1875,0.03125,-19.9375,67.375,-208.125
47,1696254812579,-0.064453125,0.9482422,0.27734375,-0.125,0.0625,0.09375,0.0,0.0,0.0
48,1696254812619,-0.05859375,0.94921875,0.2734375,0.0,0.0625,0.03125,0.0,0.0,0.0
49,1696254812659,-0.052734375,0.9511719,0.27539062,0.0625,0.0625,0.09375,0.0,0.0,0.0
50,1696254812699,-0.052734375,0.9482422,0.28515625,-0.125,0.0625,0.15625,0.0,0.0,0.0
51,1696254812739,-0.06542969,0.9472656,0.28320312,0.125,0.125,0.15625,0.0,0.0,0.0
52,1696254812779,-0.06738281,0.94433594,0.2763672,0.1875,0.125,0.21875,0.0,0.0,0.0
53,1696254812819,-0.052734375,0.9482422,0.26464844,0.0625,0.375,0.03125,0.0,0.0,0.0
54,1696254812859,-0.056640625,0.9550781,0.27539062,0.0625,0.3125,0.09375,0.0,0.0,0.0
55,1696254812899,-0.057617188,0.9511719,0.26660156,0.3125,0.125,0.09375,0.0,0.0,0.0
56,1696254812939,-0.064453125,0.9550781,0.28808594,0.1875,0.1875,0.09375,0.0,0.0,0.0
57,1696254812979,-0.056640625,0.9550781,0.28027344,-0.1875,0.1875,0.28125,0.0,0.0,0.0
58,1696254813019,-0.059570312,0.9501953,0.28808594,-0.34375,0.0625,0.09375,-21.4375,67.6875,-207.1875
59,1696254813059,-0.059570312,0.94921875,0.2685547,-0.125,0.0625,0.15625,0.0,0.0,0.0
60,1696254813099,-0.059570312,0.94921875,0.27929688,0.0625,0.125,0.03125,0.0,0.0,0.0
61,1696254813139,-0.053710938,0.9589844,0.27539062,0.0,0.25,0.15625,0.0,0.0,0.0
62,1696254813179,-0.047851562,0.94921875,0.2763672,0.0,0.0625,0.15625,0.0,0.0,0.0
63,1696254813219,-0.06738281,0.953125,0.27148438,0.125,0.125,0.28125,0.0,0.0,0.0
64,1696254813259,-0.051757812,0.9453125,0.26464844,0.0625,0.25,0.28125,0.0,0.0,0.0
65,1696254813299,-0.064453125,0.94921875,0.2705078,-0.25,0.1875,0.34375,0.0,0.0,0.0
66,1696254813339,-0.057617188,0.9472656,0.28320312,-0.0625,0.25,0.15625,0.0,0.0,0.0
67,1696254813379,-0.047851562,0.9501953,0.27441406,0.0,0.125,0.15625,0.0,0.0,0.0
68,1696254813419,-0.053710938,0.953125,0.2705078,0.0625,0.3125,-0.03125,0.0,0.0,0.0
69,1696254813459,-0.061523438,0.9482422,0.27246094,0.25,0.25,0.03125,0.0,0.0,0.0
70,1696254813499,-0.05859375,0.9560547,0.28027344,0.125,0.25,0.15625,0.0,0.0,0.0
71,1696254813539,-0.06347656,0.9423828,0.28222656,0.0625,0.375,0.15625,-20.6875,68.0,-207.1875
72,1696254813579,-0.05859375,0.9501953,0.2783203,-0.125,0.25,0.34375,0.0,0.0,0.0
73,1696254813619,-0.055664062,0.94921875,0.265625,0.0,0.0625,0.15625,0.0,0.0,0.0
74,1696254813659,-0.053710938,0.9433594,0.29003906,0.1875,0.25,0.21875,0.0,0.0,0.0
75,1696254813699,-0.064453125,0.9472656,0.27929688,0.0,0.1875,0.15625,0.0,0.0,0.0
76,1696254813739,-0.047851562,0.9482422,0.2705078,-0.1875,0.0,0.21875,0.0,0.0,0.0
77,1696254813779,-0.049804688,0.95214844,0.27734375,0.0,0.125,0.09375,0.0,0.0,0.0
78,1696254813819,-0.053710938,0.9482422,0.26757812,-0.0625,0.125,0.21875,0.0,0.0,0.0
79,1696254813859,-0.06640625,0.9511719,0.26953125,0.0625,0.25,0.15625,0.0,0.0,0.0
80,1696254813899,-0.05078125,0.95703125,0.2705078,-0.0625,0.125,0.09375,0.0,0.0,0.0
81,1696254813939,-0.056640625,0.9560547,0.28027344,0.0625,0.125,0.21875,0.0,0.0,0.0
82,1696254813979,-0.06640625,0.95703125,0.27734375,-0.1875,0.1875,0.21875,0.0,0.0,0.0
83,1696254814019,-0.059570312,0.94921875,0.27929688,-0.0625,0.1875,0.15625,-21.0,68.75,-209.625
84,1696254814059,-0.059570312,0.94628906,0.2734375,0.0625,0.1875,0.09375,0.0,0.0,0.0
85,1696254814099,-0.060546875,0.94921875,0.2685547,-0.125,0.25,0.21875,0.0,0.0,0.0
86,1696254814139,-0.059570312,0.9589844,0.2705078,0.0,0.1875,0.21875,0.0,0.0,0.0
87,1696254814179,-0.06542969,0.9501953,0.26367188,0.0625,0.25,0.09375,0.0,0.0,0.0
88,1696254814219,-0.0625,0.9482422,0.28125,0.0625,0.125,0.09375,0.0,0.0,0.0
89,1696254814259,-0.057617188,0.9472656,0.28125,-0.0625,0.375,0.28125,0.0,0.0,0.0
90,1696254814299,-0.06347656,0.9609375,0.27929688,-0.34375,0.3125,0.21875,0.0,0.0,0.0
91,1696254814339,-0.056640625,0.9511719,0.2763672,0.0,0.125,0.28125,0.0,0.0,0.0
92,1696254814379,-0.0546875,0.9628906,0.2763672,0.0625,0.125,0.15625,0.0,0.0,0.0
93,1696254814419,-0.059570312,0.9472656,0.27734375,0.0,0.25,0.03125,0.0,0.0,0.0
94,1696254814459,-0.060546875,0.95214844,0.2763672,-0.1875,0.25,0.15625,0.0,0.0,0.0
95,1696254814499,-0.052734375,0.953125,0.27539062,-0.28125,0.125,0.09375,0.0,0.0,0.0
96,1696254814539,-0.059570312,0.95214844,0.26757812,-0.0625,-0.0625,0.34375,-20.875,69.3125,-206.875
97,1696254814579,-0.055664062,0.953125,0.26953125,0.0,0.1875,0.28125,0.0,0.0,0.0
98,1696254814619,-0.051757812,0.9511719,0.27246094,-0.0625,0.0,0.15625,0.0,0.0,0.0
99,1696254814659,-0.059570312,0.9472656,0.2919922,0.0625,0.125,0.15625,0.0,0.0,0.0
100,1696254814699,-0.059570312,0.9482422,0.29101562,-0.0625,0.25,0.09375,0.0,0.0,0.0
101,1696254814739,-0.057617188,0.9511719,0.28125,-0.28125,0.1875,0.15625,0.0,0.0,0.0
102,1696254814779,-0.053710938,0.953125,0.28222656,-0.125,0.1875,0.21875,0.0,0.0,0.0
103,1696254814819,-0.061523438,0.94628906,0.25195312,0.0625,0.25,0.03125,0.0,0.0,0.0
104,1696254814859,-0.055664062,0.94921875,0.265625,-0.0625,0.125,0.15625,0.0,0.0,0.0
105,1696254814899,-0.05859375,0.9511719,0.2841797,0.0625,0.1875,0.21875,0.0,0.0,0.0
106,1696254814939,-0.0625,0.94140625,0.2783203,0.125,0.3125,0.09375,0.0,0.0,0.0
107,1696254814979,-0.059570312,0.94921875,0.27539062,0.0,0.25,0.21875,0.0,0.0,0.0
108,1696254815019,-0.057617188,0.9511719,0.27734375,-0.34375,0.4375,0.21875,-20.375,68.4375,-207.8125
109,1696254815059,-0.056640625,0.953125,0.2783203,-0.0625,0.0,0.21875,0.0,0.0,0.0
110,1696254815099,-0.053710938,0.94433594,0.27148438,0.0,0.0,0.15625,0.0,0.0,0.0
111,1696254815139,-0.060546875,0.95703125,0.27929688,0.0625,0.25,0.21875,0.0,0.0,0.0
112,1696254815179,-0.060546875,0.953125,0.27929688,0.125,0.1875,0.15625,0.0,0.0,0.0
113,1696254815219,-0.060546875,0.94921875,0.2763672,-0.34375,0.0625,0.21875,0.0,0.0,0.0
114,1696254815259,-0.057617188,0.9560547,0.2939453,0.0,0.125,0.03125,0.0,0.0,0.0
115,1696254815299,-0.053710938,0.9453125,0.25976562,-0.0625,0.125,0.09375,0.0,0.0,0.0
116,1696254815339,-0.057617188,0.9453125,0.27734375,0.0,0.125,0.09375,0.0,0.0,0.0
117,1696254815379,-0.0625,0.93652344,0.26660156,0.0,-0.125,0.03125,0.0,0.0,0.0
118,1696254815419,-0.056640625,0.9472656,0.2705078,0.0,0.1875,0.21875,0.0,0.0,0.0
119,1696254815459,-0.053710938,0.9472656,0.27929688,-0.0625,0.25,0.15625,0.0,0.0,0.0
120,1696254815499,-0.051757812,0.9472656,0.28027344,-0.125,0.1875,0.21875,-20.125,69.625,-207.375
121,1696254815539,-0.05859375,0.9472656,0.28515625,0.0625,0.125,0.21875,0.0,0.0,0.0
122,1696254815579,-0.049804688,0.95214844,0.2607422,0.0,0.1875,0.15625,0.0,0.0,0.0
123,1696254815619,-0.053710938,0.95214844,0.2783203,-0.0625,0.125,0.15625,0.0,0.0,0.0
124,1696254815659,-0.0625,0.9433594,0.27441406,0.125,0.1875,0.15625,0.0,0.0,0.0
125,1696254815699,-0.0546875,0.9550781,0.26953125,0.0625,0.125,0.03125,0.0,0.0,0.0
126,1696254815739,-0.060546875,0.94628906,0.28027344,-0.0625,0.125,0.15625,0.0,0.0,0.0
127,1696254815779,-0.044921875,0.94628906,0.27246094,0.0625,0.3125,0.15625,0.0,0.0,0.0
128,1696254815819,-0.057617188,0.9580078,0.26953125,0.0625,0.1875,0.15625,0.0,0.0,0.0
129,1696254815859,-0.06347656,0.94628906,0.27539062,-0.0625,-0.0625,0.15625,0.0,0.0,0.0
130,1696254815899,-0.056640625,0.9511719,0.28808594,0.125,-0.0625,-0.0625,0.0,0.0,0.0
131,1696254815939,-0.052734375,0.94140625,0.27246094,0.0,0.0,0.0,0.0,0.0,0.0
132,1696254815979,-0.0546875,0.953125,0.28125,0.0,0.0,0.125,0.0,0.0,0.0
133,1696254816019,-0.0546875,0.9580078,0.2841797,-0.125,0.0,-0.0625,-20.5625,68.875,-207.625
134,1696254816059,-0.055664062,0.9453125,0.2861328,0.0,0.0,0.0,0.0,0.0,0.0
135,1696254816099,-0.061523438,0.9482422,0.2705078,0.0,-0.125,-0.125,0.0,0.0,0.0
136,1696254816139,-0.051757812,0.9511719,0.2734375,0.0625,-0.21875,0.0,0.0,0.0,0.0
137,1696254816179,-0.056640625,0.9511719,0.27734375,0.25,-0.125,0.0,0.0,0.0,0.0
138,1696254816219,-0.055664062,0.9580078,0.26367188,0.0625,0.125,0.0625,0.0,0.0,0.0
139,1696254816259,-0.060546875,0.9433594,0.27148438,-0.1875,0.0625,0.0625,0.0,0.0,0.0
140,1696254816299,-0.059570312,0.94921875,0.28808594,0.0,-0.1875,-0.0625,0.0,0.0,0.0
141,1696254816339,-0.049804688,0.95410156,0.2919922,-0.125,-0.125,0.0625,0.0,0.0,0.0
142,1696254816379,-0.05859375,0.9550781,0.28222656,-0.0625,0.0,0.125,0.0,0.0,0.0
143,1696254816419,-0.060546875,0.9580078,0.2861328,-0.0625,0.0,0.0,0.0,0.0,0.0
144,1696254816459,-0.060546875,0.9472656,0.2783203,0.0,-0.0625,0.0,0.0,0.0,0.0
145,1696254816499,-0.059570312,0.9472656,0.2685547,0.0,-0.125,0.125,0.0,0.0,0.0
146,1696254816539,-0.06347656,0.9628906,0.28125,0.0625,0.0625,0.0,-21.875,67.5625,-207.375
147,1696254816579,-0.052734375,0.94433594,0.26660156,-0.0625,-0.125,-0.0625,0.0,0.0,0.0
148,1696254816619,-0.057617188,0.9482422,0.27246094,0.125,-0.1875,-0.0625,0.0,0.0,0.0
149,1696254816659,-0.060546875,0.94433594,0.27539062,0.1875,0.0,0.0,0.0,0.0,0.0
150,1696254816699,-0.05859375,0.953125,0.27441406,-0.0625,-0.0625,-0.125,0.0,0.0,0.0
151,1696254816739,-0.059570312,0.9482422,0.27929688,-0.28125,-0.125,0.0,0.0,0.0,0.0
152,1696254816779,-0.05078125,0.9501953,0.27441406,0.0625,0.0,-0.125,0.0,0.0,0.0
153,1696254816819,-0.06640625,0.9453125,0.2841797,-0.0625,-0.125,0.0,0.0,0.0,0.0
154,1696254816859,-0.05078125,0.9482422,0.2841797,0.1875,-0.0625,0.0625,0.0,0.0,0.0
155,1696254816899,-0.0625,0.9472656,0.27246094,0.125,-0.1875,-0.125,0.0,0.0,0.0
156,1696254816939,-0.06347656,0.9453125,0.28125,0.125,-0.0625,0.0,0.0,0.0,0.0
157,1696254816979,-0.05859375,0.9482422,0.28222656,0.0,-0.0625,-0.0625,0.0,0.0,0.0
158,1696254817019,-0.056640625,0.95996094,0.26953125,-0.1875,-0.0625,0.0625,-21.4375,68.4375,-206.75
159,1696254817059,-0.057617188,0.9511719,0.28808594,0.0,-0.21875,0.125,0.0,0.0,0.0
160,1696254817099,-0.056640625,0.94433594,0.28710938,0.0625,-0.28125,-0.0625,0.0,0.0,0.0
161,1696254817139,-0.064453125,0.95214844,0.28222656,0.0,-0.125,0.0,0.0,0.0,0.0
162,1696254817179,-0.057617188,0.9472656,0.27441406,0.1875,0.0,-0.0625,0.0,0.0,0.0
163,1696254817219,-0.060546875,0.9433594,0.29003906,0.25,-0.0625,-0.0625,0.0,0.0,0.0
164,1696254817259,-0.05859375,0.94921875,0.2626953,0.125,0.0,0.0,0.0,0.0,0.0
165,1696254817299,-0.05859375,0.95214844,0.26757812,0.0,0.0625,-0.0625,0.0,0.0,0.0
166,1696254817339,-0.0625,0.9482422,0.27539062,0.0,-0.0625,-0.125,0.0,0.0,0.0
167,1696254817379,-0.053710938,0.94140625,0.28320312,0.375,-0.1875,-0.0625,0.0,0.0,0.0
168,1696254817419,-0.056640625,0.95410156,0.27441406,0.0625,-0.1875,-0.0625,0.0,0.0,0.0
169,1696254817459,-0.055664062,0.9560547,0.28027344,-0.0625,-0.125,-0.0625,0.0,0.0,0.0
170,1696254817499,-0.055664062,0.9609375,0.2734375,0.0,-0.1875,0.0,0.0,0.0,0.0
171,1696254817539,-0.05078125,0.9511719,0.29882812,-0.0625,-0.1875,-0.0625,-20.6875,68.0,-206.4375
172,1696254817579,-0.0546875,0.94628906,0.28125,0.0625,0.0,-0.0625,0.0,0.0,0.0
173,1696254817619,-0.06738281,0.94921875,0.27929688,-0.1875,0.0625,0.0,0.0,0.0,0.0
174,1696254817659,-0.05859375,0.9404297,0.2734375,0.0625,-0.125,-0.125,0.0,0.0,0.0
175,1696254817699,-0.049804688,0.95410156,0.27929688,0.3125,-0.1875,-0.0625,0.0,0.0,0.0
176,1696254817739,-0.059570312,0.95214844,0.28710938,0.125,0.0625,-0.0625,0.0,0.0,0.0
177,1696254817779,-0.06933594,0.9482422,0.2685547,-0.0625,-0.0625,0.0,0.0,0.0,0.0
178,1696254817819,-0.060546875,0.94628906,0.27441406,0.0,-0.1875,0.0625,0.0,0.0,0.0
179,1696254817859,-0.052734375,0.94433594,0.27148438,-0.125,-0.1875,0.125,0.0,0.0,0.0
180,1696254817899,-0.055664062,0.9580078,0.28125,-0.0625,0.0,-0.0625,0.0,0.0,0.0
181,1696254817939,-0.05078125,0.9550781,0.2734375,0.125,-0.0625,-0.125,0.0,0.0,0.0
182,1696254817979,-0.052734375,0.94433594,0.28027344,0.125,-0.0625,0.0,0.0,0.0,0.0
183,1696254818019,-0.059570312,0.9550781,0.27539062,0.0625,0.0,0.0625,-21.125,67.8125,-207.9375
184,1696254818059,-0.05859375,0.953125,0.2734375,0.0625,0.1875,-0.1875,0.0,0.0,0.0
185,1696254818099,-0.051757812,0.9482422,0.2705078,0.0625,-0.0625,-0.0625,0.0,0.0,0.0
186,1696254818139,-0.049804688,0.9550781,0.27929688,0.125,-0.1875,0.0,0.0,0.0,0.0
187,1696254818179,-0.055664062,0.95410156,0.2763672,0.125,-0.0625,0.0625,0.0,0.0,0.0
188,1696254818219,-0.053710938,0.9433594,0.27441406,-0.125,-0.21875,0.0625,0.0,0.0,0.0
189,1696254818259,-0.051757812,0.9482422,0.2919922,-0.125,-0.28125,0.125,0.0,0.0,0.0
190,1696254818299,-0.05859375,0.9511719,0.27734375,0.0,-0.1875,-0.125,0.0,0.0,0.0
191,1696254818339,-0.060546875,0.9589844,0.26953125,0.0,-0.125,-0.1875,0.0,0.0,0.0
192,1696254818379,-0.0546875,0.95703125,0.27734375,-0.0625,-0.1875,0.0625,0.0,0.0,0.0
193,1696254818419,-0.060546875,0.9609375,0.27734375,0.0,-0.1875,0.0,0.0,0.0,0.0
194,1696254818459,-0.05859375,0.94433594,0.28515625,0.125,-0.125,0.0,0.0,0.0,0.0
195,1696254818499,-0.056640625,0.9433594,0.27148438,-0.0625,-0.0625,0.0,0.0,0.0,0.0
196,1696254818539,-0.056640625,0.953125,0.28222656,-0.0625,-0.0625,0.0625,-20.875,67.0625,-206.625
197,1696254818579,-0.064453125,0.9472656,0.28808594,0.0625,0.0,0.0625,0.0,0.0,0.0
198,1696254818619,-0.05078125,0.94433594,0.27929688,-0.0625,-0.21875,0.0,0.0,0.0,0.0
199,1696254818659,-0.049804688,0.953125,0.28027344,-0.125,-0.0625,-0.125,0.0,0.0,0.0
200,1696254818699,-0.0625,0.94433594,0.28222656,0.125,0.0,-0.0625,0.0,0.0,0.0
201,1696254818739,-0.056640625,0.95214844,0.27734375,0.125,-0.0625,0.0625,0.0,0.0,0.0
202,1696254818779,-0.053710938,0.94921875,0.26953125,-0.0625,-0.0625,0.125,0.0,0.0,0.0
203,1696254818819,-0.055664062,0.94433594,0.28320312,0.0,0.125,0.0,0.0,0.0,0.0
204,1696254818859,-0.0546875,0.953125,0.2763672,-0.125,-0.0625,0.0,0.0,0.0,0.0
205,1696254818899,-0.0546875,0.953125,0.28222656,0.0625,-0.1875,0.0,0.0,0.0,0.0
206,1696254818939,-0.055664062,0.9472656,0.28222656,0.0625,-0.1875,0.0625,0.0,0.0,0.0
207,1696254818979,-0.06347656,0.9501953,0.2685547,0.0,0.0,0.0625,0.0,0.0,0.0
208,1696254819019,-0.05859375,0.9404297,0.28515625,-0.25,-0.125,0.0,-21.4375,67.6875,-207.8125
209,1696254819059,-0.061523438,0.9589844,0.2919922,-0.1875,-0.125,-0.1875,0.0,0.0,0.0
210,1696254819099,-0.05859375,0.9511719,0.2734375,0.0625,-0.0625,-0.25,0.0,0.0,0.0
211,1696254819139,-0.047851562,0.9589844,0.2763672,0.125,0.0625,-0.0625,0.0,0.0,0.0
212,1696254819179,-0.053710938,0.9511719,0.2783203,-0.0625,-0.40625,-0.0625,0.0,0.0,0.0
213,1696254819219,-0.0625,0.953125,0.27929688,0.0,-0.125,-0.0625,0.0,0.0,0.0
214,1696254819259,-0.055664062,0.9482422,0.2705078,-0.0625,0.0,0.0,0.0,0.0,0.0
215,1696254819299,-0.055664062,0.9511719,0.28222656,-0.28125,0.0625,-0.0625,0.0,0.0,0.0
216,1696254819339,-0.055664062,0.9433594,0.2763672,0.0,-0.125,0.0625,0.0,0.0,0.0
217,1696254819379,-0.057617188,0.9550781,0.27246094,-0.0625,-0.1875,0.125,0.0,0.0,0.0
218,1696254819419,-0.057617188,0.9589844,0.27441406,-0.28125,-0.125,0.0,0.0,0.0,0.0
