# Sensor type: Thingy
# Activity type: Lying down right
# Activity subtype: Normal
# Subject id: s2106809
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696254864776,0.02734375,-0.96972656,-0.29101562,-0.21875,-0.125,-0.125,0.0,0.0,0.0
1696254864821,0.028320312,-0.97265625,-0.2998047,-0.28125,-0.125,0.0,0.0,0.0,0.0
1696254864864,0.02734375,-0.9765625,-0.28808594,0.03125,0.0,0.0625,0.0,0.0,0.0
1696254864906,0.026367188,-0.9716797,-0.30371094,-0.28125,0.0,0.0,0.0,0.0,0.0
1696254864942,0.036132812,-0.9746094,-0.2890625,0.21875,-0.125,-0.0625,0.0,0.0,0.0
1696254864987,0.030273438,-0.9765625,-0.29785156,-0.375,-0.125,0.0625,0.0,0.0,0.0
1696254865021,0.026367188,-0.97265625,-0.31152344,-0.5,0.0,-0.0625,11.25,-7.3125,-243.375
1696254865055,0.026367188,-0.96875,-0.29589844,-0.28125,-0.125,-0.0625,0.0,0.0,0.0
1696254865100,0.032226562,-0.97558594,-0.30273438,0.15625,-0.125,-0.0625,0.0,0.0,0.0
1696254865133,0.03515625,-0.9707031,-0.2919922,0.15625,-0.125,0.25,0.0,0.0,0.0
1696254865179,0.021484375,-0.9716797,-0.29589844,-0.09375,-0.125,0.0625,0.0,0.0,0.0
1696254865223,0.033203125,-0.9707031,-0.29882812,0.15625,-0.0625,0.1875,0.0,0.0,0.0
1696254865257,0.030273438,-0.96777344,-0.29101562,0.03125,0.0,0.0,0.0,0.0,0.0
1696254865302,0.02734375,-0.9765625,-0.29492188,-0.34375,-0.0625,0.125,0.0,0.0,0.0
1696254865347,0.022460938,-0.9707031,-0.31054688,-0.09375,-0.125,0.125,0.0,0.0,0.0
1696254865395,0.03125,-0.97265625,-0.2919922,-0.09375,-0.125,0.0,0.0,0.0,0.0
1696254865414,0.038085938,-0.97558594,-0.29492188,-0.09375,0.0,0.125,0.0,0.0,0.0
1696254865459,0.028320312,-0.9765625,-0.296875,0.0625,0.03125,0.21875,0.0,0.0,0.0
1696254865493,0.029296875,-0.96777344,-0.29882812,0.3125,0.15625,0.0,0.0,0.0,0.0
1696254865538,0.021484375,-0.98046875,-0.28515625,0.65625,0.09375,-0.0625,12.625,-5.1875,-244.125
1696254865583,0.025390625,-0.9707031,-0.29589844,-0.0625,0.09375,0.0625,0.0,0.0,0.0
1696254865617,0.026367188,-0.97265625,-0.29492188,-0.25,0.03125,0.0,0.0,0.0,0.0
1696254865662,0.021484375,-0.9785156,-0.30078125,-0.0625,-0.09375,0.21875,0.0,0.0,0.0
1696254865696,0.028320312,-0.96875,-0.296875,0.46875,0.09375,0.0,0.0,0.0,0.0
1696254865741,0.034179688,-0.9746094,-0.29589844,0.65625,0.03125,-0.0625,0.0,0.0,0.0
1696254865777,0.030273438,-0.9716797,-0.28710938,0.53125,0.03125,0.09375,0.0,0.0,0.0
1696254865820,0.024414062,-0.97265625,-0.3017578,0.125,-0.03125,-0.125,0.0,0.0,0.0
1696254865853,0.033203125,-0.9580078,-0.2939453,-0.5625,0.03125,-0.1875,0.0,0.0,0.0
1696254865898,0.02734375,-0.97753906,-0.29101562,-0.625,-0.15625,0.0625,0.0,0.0,0.0
